,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,-0.162029107,0.702384474,-0.42222231,0.608437247,12.18828457,0.020975264,0.43995945,0.8411774,-1.245154953,0.04954206,-2.423344483,0.24394341,-1.204439433,0.061186616,-0.640961799,0.25116463,-0.00416595,0.993469706,-0.022870239,0.962734146,0.596564708,0.647182743,0.634760028,1
pvalue1,hsa.let.7b,-0.865988512,0.1686919,0.867523735,0.309529412,1.307476871,0.629495021,2.33728703,0.66276772,-0.642619288,0.392616899,-1.033299364,0.250331753,-0.941798637,0.17568674,0.411701588,0.471055661,0.393688893,0.518153679,0.913353831,0.097088042,0.386754497,0.38395133,0.3646122,1
pvalue2,hsa.let.7c,0.400195722,0.78492577,0.31633188,0.912770346,-1.318389448,0.445640514,-0.507981741,0.828310984,-0.98118711,0.20902373,-0.83337132,0.787335544,-0.817807666,0.35497349,-0.323267448,0.479816232,-1.367369106,0.022609719,-0.799202688,0.145679157,0.077570722,0.108470458,0.083120706,1
pvalue3,hsa.let.7d,-0.031432716,0.982211273,-0.638801989,0.71802522,-0.941173729,0.595862206,18.00369697,1.69E-05,0.442129515,0.710537456,-1.760527072,0.822073337,0.186337912,0.767622315,-0.205888663,0.719189827,-1.343451327,0.090004065,1.245441448,0.008349229,0.000223696,0.000719506,5.70E-05,1
pvalue4,hsa.let.7e,0.585756328,0.807147149,-0.404354686,0.896219874,-0.34318218,0.93538142,-1.358843446,0.63213065,-0.423057303,0.589189549,-1.208165397,0.555829651,-1.110846254,0.106593194,-0.388202351,0.389841163,-0.760917893,0.134465786,-1.46025881,0.025208915,0.081504875,0.118178012,0.089062351,1
pvalue5,hsa.let.7f.2,0.054876743,0.902500574,-0.237547409,0.864282368,-0.814125344,0.414270618,1.501088165,0.816709044,-1.185942274,0.10133444,-0.716355422,0.768496468,-1.420278176,0.02813279,-0.608389711,0.239533954,-0.803592527,0.175891594,0.021858588,0.962314797,0.322399422,0.352164992,0.332175114,1
pvalue6,hsa.let.7g,0.035068682,0.927637692,-0.096787535,0.904025929,0.084078732,0.973708345,0.391033961,0.870830054,-1.219583313,0.216762653,-1.67310045,0.058034246,-2.201657626,0.004709344,-0.47758495,0.334928226,-0.616861062,0.233165363,-0.71869484,0.165275025,0.496427745,0.473268893,0.458821088,1
pvalue7,hsa.let.7i,-0.414002088,0.497258186,0.521216783,0.657005983,-0.944515833,0.301721719,1.439442997,0.65137575,0.512453118,0.50934857,2.451627472,0.400066166,0.348969487,0.560585613,0.562230949,0.315705821,0.109641682,0.866474974,1.004921104,0.045097538,0.165736253,0.168052183,0.145813861,1
pvalue8,hsa.mir.1.1,-0.280036126,0.818523068,-0.252306552,0.854032276,0.905792703,0.788881295,0.965236233,0.790751963,0.832123956,0.724728285,-0.567109077,0.819645726,-1.196634672,0.749494664,-0.002450497,0.996502374,0.22853462,0.672765794,-0.107242598,0.842807449,0.926638029,0.923816309,0.923120528,1
pvalue9,hsa.mir.1.2,0.02426944,0.985284348,-0.638174734,0.636155522,-0.020524313,0.988796687,1.237994865,0.819142317,-0.728460627,0.841738977,-0.255913343,0.80569521,-1.735291577,0.434683979,-0.802726511,0.193147949,-0.160953881,0.73487086,-0.466427036,0.369847107,0.530015172,0.555254393,0.54191605,1
pvalue10,hsa.mir.100,-1.030334722,0.029443037,1.337359252,0.109441384,0.33633588,0.634193179,2.505507366,0.689103146,-1.659143426,0.118871942,0.233206419,0.765495783,-2.110005075,0.055356308,0.458776807,0.411286551,0.495384742,0.415984758,0.64539255,0.248901377,0.687024648,0.715307214,0.707492413,1
