,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,-1.160897938,0.004072283,7.605640446,0.066754184,4.906178513,0.075097424,1.74728476,0.282562387,-2.241239842,0.001721197,-2.819017977,0.509327334,-1.586124795,0.040921171,0.517702191,0.341361647,0.021127279,0.974562104,0.356165309,0.516282814,0.744968078,0.747826184,0.742896766,1
pvalue1,hsa.let.7b,-0.942565267,0.023923011,6.940807411,0.063677928,0.723257503,0.595653073,4.671445152,0.131676075,-2.967027626,0.000373004,-1.805231917,0.618333707,-2.197693027,0.002931603,-0.315853805,0.571194789,-0.638598109,0.374351261,0.298524305,0.554923591,0.488269142,0.507158741,0.490186232,1
pvalue2,hsa.let.7c,-1.029378364,0.078397049,7.651184212,0.033256547,0.993336477,0.54555862,4.568031903,0.098457854,-2.230356303,0.383110194,-1.382970526,0.152545104,-1.780650184,0.089981099,0.215451838,0.710873424,-0.208761182,0.75239718,0.541868642,0.306566591,0.598264774,0.598260642,0.587548459,1
pvalue3,hsa.let.7d,0.18947348,0.885878692,-0.353313628,0.851629401,0.882517346,0.745390158,4.386033805,0.314775477,0.798230352,0.405236354,-0.860124275,0.579615215,-0.469274052,0.532571573,0.320946629,0.585147106,-0.384910491,0.572308012,0.344014784,0.549736793,0.593402768,0.626342153,0.613413299,1
pvalue4,hsa.let.7e,2.571012676,0.355365371,-2.199957643,0.493862389,-1.614132491,0.630301835,-1.297341255,0.692899837,0.525075388,0.649433022,-0.185900761,0.879066196,1.148389134,0.344402333,-0.043946,0.945151603,-0.51944595,0.411233306,0.797505629,0.110208051,0.125237568,0.119094185,0.09393906,1
pvalue5,hsa.let.7f.2,-1.577817041,0.007604935,3.840701548,0.143233745,3.108656181,0.500209981,2.628367952,0.31597084,-3.058331095,0.005289918,-2.887738522,0.335995485,-1.19816107,0.082477258,0.298256666,0.676114379,0.383997172,0.546019496,1.446981492,0.015720744,0.052309856,0.040109167,0.025034345,1
pvalue6,hsa.let.7g,3.170775912,0.382441379,-3.843882847,0.334655357,2.340635696,0.685691687,-2.868659628,0.487404484,0.208507547,0.866344044,-0.009287276,0.99237093,0.932977172,0.27571332,-1.000221485,0.207323438,0.085802664,0.857748685,0.005625451,0.99181409,0.448298771,0.571355661,0.53428377,1
pvalue7,hsa.let.7i,0.034467037,0.971775544,3.609089245,0.26001324,1.121530279,0.724968601,1.30776612,0.73352991,-0.433981809,0.675385932,0.423519924,0.667717316,0.180035022,0.842127483,0.422761629,0.504136259,0.855808471,0.1866675,0.603947011,0.32383944,0.578659089,0.600061152,0.58598622,1
pvalue8,hsa.mir.1.1,3.100379027,0.360619441,0.787377574,0.886591556,-1.461976454,0.739553017,-2.778040502,0.439654432,-0.727931496,0.874998004,0.115767977,0.932240421,1.197596361,0.195564492,-0.49490349,0.434911311,-0.100373299,0.86519091,0.162999268,0.743407182,0.713350906,0.737962265,0.730285418,1
pvalue9,hsa.mir.1.2,3.591083329,0.319442396,1.127164885,0.805890325,-4.75415878,0.219248311,-3.001278795,0.434030027,-0.491412338,0.810663491,1.898933515,0.303423943,1.534997357,0.443146586,-0.193219798,0.76132748,-0.414202736,0.562312106,0.48687499,0.409932776,0.358042324,0.348719302,0.328484372,1
pvalue10,hsa.mir.100,4.947363431,0.208240726,-4.676893493,0.212830957,-3.575917687,0.501620341,-4.185939985,0.325753235,0.185784901,0.837735968,0.998677402,0.403994514,0.573280142,0.659160069,-0.574523971,0.394547536,0.42339253,0.372376138,-0.032497716,0.954194937,0.470596452,0.49349842,0.473820843,1
pvalue11,hsa.mir.101.2,2.701516556,0.39459517,-0.17438371,0.969267558,-1.521226366,0.718533991,-2.674446696,0.4096303,-0.040376666,0.978636513,0.745019223,0.595931795,1.30902607,0.316638551,-0.131834669,0.823521694,0.241815809,0.632294079,0.27764313,0.640964763,0.878272068,0.880738094,0.879266841,1
pvalue12,hsa.mir.106a,1.529920318,0.409453236,-2.755596478,0.143864633,7.288494394,0.193936627,-2.008112468,0.352657809,2.541879215,0.005486818,0.507940505,0.530527569,1.143851551,0.323141353,0.231294925,0.731686157,0.783192012,0.176586136,-0.074787856,0.916644318,0.319700335,0.321652892,0.301059533,1
pvalue13,hsa.mir.106b,-1.57581973,0.008179102,5.12530364,0.085963683,2.423831382,0.320631264,8.424265962,0.114534982,-1.94319163,0.028334308,-1.808259587,0.146857307,-1.449867483,0.060409738,0.782087516,0.250078711,0.477027039,0.466735121,1.320554182,0.025910045,0.113063553,0.120654906,0.093831924,1
pvalue14,hsa.mir.107,1.870885215,0.438884577,0.2946505,0.939679739,-1.57143749,0.546142539,2.62028771,0.498574719,-1.519924569,0.857199829,0.565518655,0.654395501,0.816655085,0.47135343,-0.913787525,0.267583573,-0.18749686,0.742449771,0.913907275,0.06334938,0.03639395,0.041380422,0.024380445,1
pvalue15,hsa.mir.10a,2.103931176,0.487699723,1.27474647,0.784322908,-0.423947138,0.896621008,-1.281224644,0.712224445,-0.591030475,0.689913222,-0.428431692,0.704340441,1.454594631,0.155210868,-0.30113282,0.644221476,-0.50392013,0.408246633,0.701385158,0.173298779,0.111029448,0.102142578,0.081277704,1
pvalue16,hsa.mir.10b,1.943361986,0.509261075,-2.725404619,0.372472571,3.303597759,0.499334719,2.189542881,0.694907301,2.431437528,0.74962916,1.902669024,0.802464868,3.039234588,0.694725955,0.346326566,0.704592221,1.539032052,0.062312665,2.61874245,0.001126142,7.22E-05,0.000403393,1.33E-05,1
pvalue17,hsa.mir.1179,5.805164751,0.302661004,-5.36798585,0.373135231,-2.000266694,0.740411433,-5.662279407,0.317464216,0.808447414,0.812405908,-0.204086095,0.968391874,2.023130155,0.565393948,-0.105268664,0.866128915,-0.160549426,0.824192842,0.664402056,0.272771224,0.366079147,0.340097062,0.318447586,1
pvalue18,hsa.mir.1180,4.398739199,0.195151325,-3.740109739,0.283557495,-4.263652317,0.311841916,-1.644920999,0.685907313,1.973900134,0.129980906,1.083480599,0.518328101,1.09455756,0.403276406,1.185786855,0.047618775,-0.043838998,0.946094644,0.846805189,0.125896247,0.115244238,0.131636935,0.105942415,1
pvalue19,hsa.mir.1224,3.012274563,0.29978677,-2.732739191,0.422688545,2.440805469,0.672555901,-2.642096388,0.381538595,0.786584213,0.804420809,1.281897727,0.64332395,1.890664956,0.502260166,-0.067831638,0.924679962,1.198831347,0.056614456,0.977852916,0.120829132,0.084195311,0.119948247,0.090811105,1
pvalue20,hsa.mir.1226,-0.833713609,0.372913199,2.462772562,0.609806603,1.099949782,0.43567177,2.798699932,0.372035862,-0.607059726,0.56320291,-0.024132133,0.969469775,-0.217520303,0.817810712,0.667621907,0.346341398,0.673992646,0.329465596,1.086867481,0.108773638,0.405224264,0.447964223,0.421193046,1
pvalue21,hsa.mir.1228,4.361673662,0.18621542,-4.171916346,0.265090873,-3.492617426,0.324731714,-2.927589163,0.436436143,3.124919457,0.678787829,2.703609321,0.735885075,2.997799436,0.685641015,1.328768148,0.070189239,1.122199437,0.10535452,1.735766626,0.011359521,0.042600463,0.090297965,0.058450101,1
pvalue22,hsa.mir.1229,4.932854332,0.090638206,-1.789857186,0.703579788,-4.201415883,0.217905501,-4.732863651,0.113505968,0.63190689,0.861948874,0.873797932,0.810632741,1.081399304,0.763019495,0.4788551,0.42111473,0.236176327,0.702606411,0.027121329,0.962441425,0.820981866,0.813734016,0.810441097,1
pvalue23,hsa.mir.124.3,1.904054739,0.359481825,1.615238874,0.689653947,-1.098620457,0.708626375,-1.193646971,0.649596995,0.450618942,0.945729931,1.723139993,0.773024624,1.843324984,0.761888005,0.649988216,0.360483164,1.050385044,0.123569804,1.231645329,0.065951885,0.205738439,0.268160917,0.233236937,1
pvalue24,hsa.mir.1247,-1.26770745,0.011370367,9.122974223,0.045225924,2.450715107,0.177777349,3.09165969,0.244902808,-2.644212698,0.384359515,-1.761578138,0.028454199,-2.032447795,0.003095024,0.374183173,0.525344869,0.709057616,0.237022389,0.633248278,0.288123541,0.625901279,0.652084133,0.642069535,1
pvalue25,hsa.mir.1248,-1.415299121,0.118457049,1.692965448,0.577620416,4.333262375,0.098652308,10.48059129,0.056191975,-1.713635263,0.596670928,-1.836924752,0.216012686,-0.701997577,0.536901032,-0.14937757,0.860548199,0.485426055,0.4900548,1.61095886,0.01222018,0.00619782,0.006703773,0.002295639,1
pvalue26,hsa.mir.1249,5.751700128,0.220601742,-3.053385942,0.551409369,-6.616867906,0.166083716,-4.206114344,0.382048126,-0.188234984,0.952354079,1.234280656,0.693532683,-0.216144135,0.94267734,-0.324632357,0.522291899,-0.660943642,0.266850596,-0.492321266,0.379030641,0.666051488,0.66718117,0.659080407,1
pvalue27,hsa.mir.1251,4.817711481,0.180707973,-5.500909956,0.133105406,-0.376548867,0.942769185,-4.612175497,0.217137784,1.795840867,0.124182364,0.151963891,0.885801129,0.498551031,0.687007182,-0.085228594,0.882959679,0.063772913,0.903292677,-0.428389798,0.428919083,0.811484912,0.824818356,0.821489783,1
pvalue28,hsa.mir.1258,-0.089797465,0.915604796,0.089778947,0.970895212,0.587215824,0.707894056,0.518833053,0.853495474,-19.99725462,5.03E-99,-0.419848668,0.646016198,-0.078769672,0.93879895,-1.317145314,0.078349207,-0.235708866,0.685674075,0.177120854,0.740619899,0.099498157,0.182132321,0.140372614,1
pvalue29,hsa.mir.125a,2.159356483,0.138259538,0.348258295,0.890826711,-1.399420221,0.545033854,-0.186572172,0.951394667,-0.227080481,0.79806498,-0.1382725,0.960594154,0.171399436,0.834798664,-0.184832929,0.751408917,-0.542521477,0.415559818,0.12547291,0.813035916,0.723020969,0.745064574,0.738287801,1
pvalue30,hsa.mir.125b.2,-0.866096678,0.272811673,10.659566,0.079191905,0.924747875,0.638021783,1.152877322,0.359728903,-1.258595107,0.114475705,-0.511547699,0.859843486,-1.164136531,0.167735362,0.653896846,0.238183681,0.389173664,0.542290763,-0.101988392,0.873672925,0.451899762,0.459081415,0.443125904,1
pvalue31,hsa.mir.126,6.127951929,0.116453985,-5.718949105,0.200243132,-3.761233836,0.485279591,-6.236040078,0.132473163,-0.121257691,0.91135445,0.595454971,0.638676761,1.341969529,0.136387286,-0.752403886,0.280173405,0.414512279,0.416723331,-0.064761452,0.903987937,0.316771153,0.361701819,0.331229944,1
pvalue32,hsa.mir.1262,-2.103370773,0.000486154,1.195248659,0.154964976,3.445698135,0.305538498,8.65260921,0.039702239,-1.331743196,0.719830071,-3.257790376,0.391976565,-3.705045446,0.313354899,0.552715053,0.499146495,0.747223137,0.348226717,0.794194944,0.311829711,0.720629767,0.76616646,0.755445441,1
pvalue33,hsa.mir.1270,0.679117035,0.452850175,-0.870552712,0.569094485,3.628656131,0.262909786,-0.180281796,0.92393508,-0.234349982,0.795818214,-2.383296032,0.468444035,-2.591886348,0.649662431,-0.825898295,0.135279207,-1.408352672,0.014008757,-2.205375115,0.001230524,0.005641786,0.009889986,0.003520915,1
pvalue34,hsa.mir.1271,1.088101827,0.689437743,-1.30411993,0.676519804,5.662573068,0.225839057,-0.742584644,0.805413068,0.756392808,0.63843639,-0.203287492,0.903136477,0.252749086,0.877694373,-0.049890603,0.934665974,0.231334113,0.686822926,-0.192318495,0.754236692,0.877351003,0.876068864,0.874466433,1
pvalue35,hsa.mir.1277,10.44002767,0.058648879,-11.31529015,0.045081508,-10.31566098,0.081477057,-8.099138337,0.164486771,-0.09740625,0.900216731,1.098486548,0.271510976,0.349362729,0.686125611,-1.552463057,0.054040916,0.109831881,0.849499282,0.187249681,0.708584082,0.044814811,0.158904322,0.092414199,1
pvalue36,hsa.mir.128.1,1.404482985,0.580323705,3.406410253,0.480290446,-1.431734638,0.646695411,0.908415043,0.802129282,-0.452872827,0.72026502,0.856174602,0.535038086,-0.241016394,0.834354956,-0.110560909,0.832786512,-0.048910725,0.933357184,-0.089695779,0.869031423,0.996916575,0.996898161,0.996894788,1
pvalue37,hsa.mir.1287,6.549350713,0.097539225,-7.67812629,0.058624219,-6.391322961,0.132794341,-4.133204242,0.421269265,1.126974343,0.376118904,1.221351119,0.178986635,0.727129458,0.504551785,-0.780377834,0.25851722,0.013395279,0.980327981,0.462659986,0.355389286,0.257698178,0.309693097,0.274503553,1
pvalue38,hsa.mir.129.2,3.886319566,0.17308818,-1.356880758,0.751732955,-3.487869953,0.278751416,-2.743326965,0.481522049,0.387161404,0.932679246,1.286442339,0.761258981,1.170957804,0.785455656,0.187701959,0.752014647,0.264952874,0.662135787,0.622509875,0.285191398,0.731602787,0.723567798,0.717245837,1
pvalue39,hsa.mir.1291,13.71797045,0.007799849,-13.64612324,0.00887612,-10.58650642,0.11145342,-12.80659344,0.024733044,0.572271886,0.473674024,-0.112050364,0.883789196,-0.844981781,0.551557726,-0.521927899,0.301999443,-0.269003199,0.646703433,-1.247688132,0.031757725,0.15441993,0.183528619,0.155073657,1
pvalue40,hsa.mir.1296,2.478976836,0.46508626,-2.036517242,0.579360524,-2.804621472,0.435065806,4.403302606,0.4623707,-0.529123984,0.72936619,-0.229640534,0.833410663,-0.359820471,0.750163774,-0.980473082,0.105061044,-1.230700984,0.043678637,-0.217516514,0.652412484,0.099462717,0.125246981,0.100131818,1
pvalue41,hsa.mir.1298,0.851679507,0.692167459,0.895255335,0.750812339,1.42159841,0.661167835,0.294834945,0.936333317,0.042006059,0.970728256,-0.496102133,0.767603695,-0.460253307,0.764982952,0.287334976,0.622292669,-0.145387026,0.797218166,-0.369731384,0.532776469,0.748174313,0.744647382,0.739070867,1
pvalue42,hsa.mir.1306,6.578609748,0.062530269,-5.676015652,0.135421639,-7.362094846,0.045089238,-4.723695475,0.221745486,0.922785266,0.336417629,1.320902732,0.169570363,0.036600154,0.968780519,0.311272975,0.537563903,-0.54034156,0.371321244,-0.216407806,0.705682325,0.535518621,0.55030293,0.535672403,1
pvalue43,hsa.mir.1307,-0.563486734,0.43228471,7.23564391,0.053601362,0.699128517,0.662271691,1.205548889,0.448106175,-1.883379862,0.540654568,-0.57538778,0.572631839,-1.178696917,0.198193405,-0.112558569,0.844821768,0.084880815,0.883670552,-0.189886974,0.739422369,0.966625834,0.966479393,0.966294846,1
pvalue44,hsa.mir.130a,1.674965544,0.504003816,-2.751494527,0.313986494,1.291332475,0.725120546,-0.2277164,0.965114355,2.523810996,0.008841815,-1.008670357,0.410825681,0.50305101,0.627016959,0.310755492,0.627482387,-0.638683854,0.28091818,0.316487182,0.534016781,0.296499205,0.348564984,0.322072086,1
pvalue45,hsa.mir.130b,-1.206299709,0.230789262,1.003306571,0.504848139,10.92152425,0.037224717,1.491864673,0.474103231,-0.123597103,0.962084155,-0.982776631,0.712823084,-0.079502434,0.976578729,0.681540862,0.373425289,1.049820552,0.112177229,0.878961035,0.197859101,0.378000386,0.456649818,0.426606677,1
pvalue46,hsa.mir.132,5.164447061,0.062187829,-4.932898868,0.09777896,-3.169555613,0.491926351,-4.41184554,0.110148569,0.273212261,0.812899027,1.176636644,0.354216936,1.019315024,0.184317821,-0.534185007,0.447383752,0.830113689,0.121371801,0.210370615,0.68674688,0.17888033,0.182145298,0.151602575,1
pvalue47,hsa.mir.133a.1,4.975881522,0.252634656,-0.765175284,0.893915529,-5.297824635,0.239512507,-4.563499485,0.332719211,-0.621427197,0.856090801,0.308146803,0.804626975,0.946734903,0.421492838,-0.509899434,0.370453864,-0.89835202,0.158917264,0.105505704,0.83638017,0.295664871,0.334272191,0.309141378,1
pvalue48,hsa.mir.1343,4.286262578,0.249093367,-0.922251891,0.843140895,-4.504319583,0.233856001,-3.624869184,0.421075124,0.418430389,0.745406222,1.175432029,0.255320813,0.815736842,0.452033644,0.284430762,0.616215295,-0.01700415,0.977274327,0.050960245,0.921840582,0.95521008,0.952621452,0.952224575,1
pvalue49,hsa.mir.135a.1,3.901982781,0.37553957,-4.219031227,0.372063892,-1.040076851,0.835166154,-2.98790962,0.575467823,0.500521721,0.675596873,-1.166614725,0.73558528,0.119567922,0.917383649,-0.664170854,0.22989239,-1.009095756,0.093293041,-0.45022008,0.371853188,0.33210364,0.341949758,0.319080441,1
pvalue50,hsa.mir.135b,0.025354834,0.987169635,-0.016415015,0.994502255,4.386093386,0.183541406,2.475062042,0.52156405,-0.672459096,0.805232329,0.122098356,0.965365681,0.339085684,0.914490789,-0.477232194,0.604990339,0.977973244,0.137149128,1.122946555,0.088542274,0.039999366,0.088475161,0.056217909,1
pvalue51,hsa.mir.136,2.185295574,0.199788567,5.546390061,0.325383052,-2.717399431,0.183249386,-2.229620378,0.338093161,0.109094458,0.89799734,1.307486753,0.176138881,1.046972512,0.151283879,0.334405193,0.550923658,-0.024513445,0.97091498,0.002261441,0.996958509,0.88228372,0.877685654,0.876317047,1
pvalue52,hsa.mir.137,0.652178955,0.731828238,0.970770251,0.85471376,-1.147792218,0.57706151,0.399916701,0.882551026,-0.200751605,0.875104186,0.55389661,0.69892279,0.299876976,0.812466171,0.104994857,0.856318426,-0.209342101,0.746334307,0.392372282,0.468071354,0.775089926,0.773769881,0.76872837,1
pvalue53,hsa.mir.138.1,3.001409074,0.281675132,-2.190404366,0.523751113,-1.048953557,0.775525994,-1.044817486,0.714035447,0.36885428,0.749416124,-1.962595242,0.831956326,0.128555924,0.890269528,-0.261457036,0.623417412,-1.44451958,0.071901577,-0.027439689,0.955605902,0.170011886,0.312481754,0.252941855,1
pvalue54,hsa.mir.139,-0.837480829,0.12152054,2.033846059,0.449490174,3.300302575,0.093153679,2.493877751,0.275416113,-2.252805406,0.045473284,-1.928064695,0.030535331,-1.505138938,0.027890217,-0.570379071,0.377888172,0.013184336,0.981898047,0.266137606,0.623748913,0.561912063,0.601277236,0.585310535,1
