,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7b,-0.679399323,0.458592655,1.756087534,0.725211945,0.466980296,0.763182152,5.794121734,0.297512424,-0.359079904,0.653089219,-0.269582031,0.814065929,-1.226930796,0.245498664,0.852334237,0.157287414,0.235339939,0.726186002,0.597558685,0.330333433,0.455984791,0.47303706,0.45569655,1
pvalue1,hsa.let.7d,-0.872513439,0.159351776,1.649417042,0.617551853,7.207941629,0.206521375,2.444349779,0.228479715,-0.389044047,0.660095838,-1.103773008,0.230336791,-0.951493917,0.258561428,0.926380903,0.132424993,0.924848815,0.141779239,0.707610286,0.266112995,0.371424968,0.443473786,0.416736296,1
pvalue2,hsa.let.7g,-0.731977858,0.41083887,6.00045021,0.308820782,0.963183315,0.541028613,0.639972027,0.589363518,-0.290369802,0.792836655,0.488782217,0.673873321,-0.331817441,0.805397588,1.238229978,0.061063058,0.972729106,0.160274076,0.262522004,0.713310976,0.120908271,0.145108719,0.118104075,1
pvalue3,hsa.mir.101.2,-0.203471372,0.812494317,-0.625907787,0.592718681,7.754695742,0.194694527,3.855159314,0.383693803,0.231128324,0.778572276,-0.552995358,0.384709079,-1.157564767,0.340516047,-0.404645628,0.549148359,0.711798817,0.195779119,0.190925498,0.74462345,0.253139561,0.261076613,0.235083413,1
pvalue4,hsa.mir.106a,0.261279937,0.833886153,1.527312489,0.6220403,0.596570016,0.896617677,-0.528591061,0.723348656,-0.941075864,0.277933878,-0.828629615,0.323003204,-0.317443565,0.887915231,-0.12862742,0.811024545,-0.176524605,0.741823156,-0.509264932,0.385193446,0.843030946,0.853482009,0.850775616,1
pvalue5,hsa.mir.106b,-0.498391392,0.627413975,0.745884549,0.722217434,6.424218464,0.309365138,0.465391736,0.80518817,0.708666872,0.810099386,0.019140474,0.995121234,-0.412346657,0.886715245,0.908581816,0.148627754,1.33308424,0.022780273,0.012320601,0.986143196,0.034003777,0.042144494,0.026425888,1
pvalue6,hsa.mir.107,-0.939837215,0.208602746,1.544373441,0.68407035,1.32944644,0.574893408,7.898478196,0.167331495,-0.284965195,0.774290529,-0.888942803,0.395727188,-1.424156408,0.187497239,1.005892303,0.110229226,0.511857196,0.414808607,0.797440846,0.194232609,0.376675851,0.415396901,0.391965917,1
pvalue7,hsa.mir.10a,-0.202558077,0.747445752,1.369625769,0.835459766,-0.540984843,0.72218489,1.271002208,0.748829081,-0.840426766,0.710315733,-0.740634699,0.441020073,-0.242155682,0.741984563,0.274211275,0.622560003,-0.753397852,0.287358558,0.640549818,0.219582849,0.13055305,0.181332674,0.145454784,1
pvalue8,hsa.mir.10b,-1.871609873,0.004860156,2.683941639,0.316998933,7.495281977,0.181174882,3.152202224,0.176202902,-2.972402773,0.712256155,-4.224646452,0.607040732,-3.423008661,0.673993636,1.557496863,0.046908704,1.196727058,0.136014268,1.478813024,0.062840488,0.1107601,0.233379527,0.172499871,1
pvalue9,hsa.mir.1180,-0.274054848,0.631995412,0.292538985,0.832587383,0.132840858,0.941703224,8.303654647,0.126768774,-0.749745157,0.807708794,-1.380187916,0.640726164,-1.718339256,0.555379412,-0.014668654,0.979935756,-0.51709366,0.393916744,0.208659251,0.693722931,0.606592343,0.63816029,0.626366645,1
pvalue10,hsa.mir.1228,-0.326481613,0.93495061,1.323042728,0.795198125,0.659704495,0.888846823,-0.171708572,0.966146605,-0.277963471,0.932586498,0.864030328,0.695425553,1.236001908,0.564112573,0.542911652,0.487676421,0.857557216,0.272975461,0.458319326,0.575732135,0.671118815,0.691727085,0.681188108,1
pvalue11,hsa.mir.1245a,-1.006291162,0.166889143,0.432628103,0.752244775,2.783297891,0.39845774,5.783318961,0.230542432,-1.843503469,0.7698632,-1.012948764,0.761724567,-0.938928525,0.775723106,-0.562124795,0.497932273,1.032868447,0.133328702,1.319092713,0.044947432,0.007374328,0.025314288,0.009916381,1
