"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.3","-0.926552756873697","0.0257944324572243","0.80862891493725","0.490598416237416","-0.437726456471077","0.581207678786868","-0.0243563475078002","0.978025202836776","-1.06127984145317","0.367562234917608","0.657970787305655","0.593053459786694","0.304921788385342","0.781552022257855","0.000831373612393745","0.998974908481542","-0.0535202051821021","0.934281615023579","0.126356169961228","0.845819438264637","0.995278504788189","0.99514719432555","0.995134377354793","1"
"pvalue1","hsa.let.7b","-0.46395801404694","0.497728465266637","0.208991196057483","0.893529586777644","-1.21861692552424","0.175328336815353","-0.57779158295738","0.620789168210948","-0.986045821757664","0.928705162070915","-1.01657489339934","0.820626222161509","0.498907789026361","0.370722589083404","-0.382999657891102","0.514693951829724","-1.64745647472806","0.123955268073042","-0.253346355498047","0.665641231881103","0.319782584206562","0.481998409115114","0.410456355192224","1"
"pvalue2","hsa.let.7c","-0.376686832614347","0.573650709077484","-1.49034088303699","0.16521270234111","-0.28117939336357","0.84549987678855","-0.346759266815905","0.732037284481652","0.265845096976761","0.962629825601188","-0.480797399765671","0.935830403399167","1.06029378929535","0.135779138615611","-1.05800784714747","0.196015795162728","-0.410161440383603","0.525375259213574","0.307437153268024","0.596171876229746","0.297917717073492","0.356364679355574","0.315219083398779","1"
"pvalue3","hsa.let.7d","-1.10364130380324","0.0544653185714864","0.593115013483921","0.463740070756971","0.29637457652951","0.781039123195761","0.240408426358343","0.837432575210324","-0.289689206043761","0.947221358046958","0.00431247635729308","0.999138827670845","0.935290156614279","0.807114346944812","0.336061638772896","0.616775064936855","0.208329333770551","0.769195657608922","0.674874871309545","0.31763099053013","0.788846816310825","0.782900421707638","0.77667216496331","1"
"5","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
","Error in run_with_retries(gene) : Failed after 50 attempts: 
"
"pvalue4","hsa.let.7g","-0.973560783806122","0.0363978022283549","0.466940930271098","0.645394762283996","-0.34488798407","0.652301234058629","-0.458337945950141","0.444942147871642","-0.80494468647337","0.85834120561516","1.04385564534236","0.468528307023613","1.61491727933056","0.157729085637932","-0.00883725101010094","0.988856565252507","0.063558681655223","0.924635274202124","0.355429229858931","0.604196800849174","0.953462204886897","0.949929875583883","0.949271503655335","1"
"pvalue5","hsa.let.7i","-0.853485228581554","0.177842349288105","-0.721391980792198","0.526209156932936","1.03770713445891","0.521673184349601","-0.39299460240392","0.681248436935482","-0.45143551050679","0.561379145321951","-0.167216693606612","0.905989733400637","0.679311634804586","0.541838990642283","-0.842316336498911","0.314236231632063","0.621885121931468","0.290119771180633","-0.00390223454647519","0.995364029757656","0.251825041537334","0.294883310310025","0.250550166449998","1"
"pvalue6","hsa.mir.1.2","-0.605973033455521","0.344576497742053","-0.155331623671397","0.897084004591498","-1.01433076291176","0.286654435791432","0.149600543988212","0.891318025963287","-0.817826906230889","0.412607970547048","-1.1039228714331","0.841287902760913","-1.0110998588991","0.882386935176586","-0.51718526610057","0.393294893654236","-1.37754755800433","0.091784125516929","-0.364989580793644","0.547265071066227","0.324443014759244","0.400508263622343","0.355539794710125","1"
"pvalue7","hsa.mir.100","-0.826587663664841","0.12437969148108","-0.0868462826022291","0.941062970418104","1.49194988494793","0.369791767585357","-1.4088221750072","0.18616341904414","-0.221129862036628","0.79171531718671","-0.663976619156491","0.588676260208229","0.968052663368642","0.314204618020828","-0.186744497501028","0.773836865887184","0.501805266214734","0.390999288529775","-0.839217654706592","0.30486222064101","0.352988253996605","0.388502493205664","0.350518277038006","1"
"pvalue8","hsa.mir.101.2","-1.06651024822111","0.180834211640801","-0.499096659709951","0.675000560561561","1.34521554653288","0.201354959674546","-0.0835898191475509","0.932799586511786","0.719361348280601","0.931193449345322","-0.0459092968093944","0.996644119319641","1.5486813508746","0.883372614078417","-0.119287268238584","0.875955936489325","0.818682529385157","0.207946221466683","0.575676714357584","0.393365065460593","0.449466318314871","0.457398672732191","0.434374407886279","1"
