,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,1.098612289,0.909053965,18.10617542,0.164824241,18.46745623,0.045139016,-0.693147181,0.9602866,1.129954067,0.930077731,0.968884541,0.940255436,0.028576947,0.998078006,1.399606101,0.141437283,1.248067984,0.157193854,-0.444810061,0.588275582,0.125995505,0.1718734,0.11469854,1
pvalue1,hsa.let.7b,1.098612289,0.901590863,8.61E-16,1,17.46745622,0.040591714,-0.100051685,0.99393283,1.244058534,0.905357436,0.405113498,0.969391108,0.342437308,0.976213689,0.364614128,0.657061329,0.557685667,0.48505084,-0.003772843,0.996338134,0.864966542,0.8643579,0.860947166,1
pvalue2,hsa.let.7d,19.56606854,0,-18.90207867,0.050205873,-2.95E-08,0.083832692,-19.16060343,4.06E-42,-2.149285887,0.869778164,-0.147075224,0.975397314,-0.980307624,0.92371694,-2.088706341,0.033583645,-0.096474628,0.897355848,-1.899829966,0.032478983,0.029858887,0.05324521,0.019319531,1
pvalue3,hsa.let.7e,1.098612289,0.909579508,18.14820829,0.169652142,18.46745622,0.050546313,-0.693147181,0.952951874,0.802989782,0.903129587,0.650012256,0.952647332,0.493878592,0.628803057,0.99003695,0.258666204,0.945394987,0.234616911,-0.265492445,0.745866147,0.309481833,0.322807429,0.280384124,1
pvalue4,hsa.let.7g,1.098612289,0.91192716,17.46745622,0.063338746,-0.71876783,0.94287659,0.287682072,0.984185817,1.376033498,0.920051006,1.626720577,0.903858775,0.252085826,0.978401151,1.373181514,0.096006684,0.105653896,0.908580375,0.071369191,0.926392084,0.316662614,0.257810285,0.202580305,1
pvalue5,hsa.let.7i,19.56606851,0,-18.46745623,0.019585288,-2.84E-09,0.835040676,-19.57720921,0.000137214,4.206902206,0.848777085,2.153936828,0.881555168,-0.120314643,0.992644637,0.257032701,0.740251674,0.851419345,0.290786885,-1.195118185,0.169653339,0.121490527,0.195207241,0.135682709,1
pvalue6,hsa.mir.1.2,19.03266428,0,-18.3395171,0.000413912,-17.93405199,0.064001253,0.533404237,0.735111763,1.209718431,0.787665587,0.632681003,0.932239611,0.151118204,0.983015579,0.059407906,0.958184514,0.091543591,0.937454731,0.552824271,0.618572615,0.873107571,0.865826759,0.862435311,1
pvalue7,hsa.mir.100,19.56606849,0,-0.300298565,0.967534536,-19.56606849,0.00674152,-18.17977413,0.044749448,-0.380303422,0.972242309,-1.851996801,0.920834301,-0.806816917,0.914695422,-0.422743287,0.596499068,-2.273206685,0.017682735,-1.285984187,0.088792389,0.067603415,0.099706272,0.052827824,1
pvalue8,hsa.mir.101.2,19.5660685,0,2.30E-08,0.050490172,-19.13052168,0.020372235,-19.16060339,4.60E-05,1.292465164,0.887304563,1.292126125,0.885160965,-0.465691517,0.971500955,0.712289664,0.377003834,-0.705538,0.419723163,-1.292615931,0.093757659,0.094188515,0.114304148,0.071576769,1
pvalue9,hsa.mir.103a.2,1.098612289,0.914174677,18.46745623,0.056448537,18.46745622,0.056448537,-1.126461236,0.914418669,1.87995294,0.841235932,0.997321642,0.870162989,-0.34619025,0.979871811,2.231258402,0.028657381,1.361210777,0.155194414,-0.842152877,0.359459387,0.01284414,0.04016573,0.008555754,1
pvalue10,hsa.mir.106a,6.71E-16,1,1.098612289,0.934293673,19.37900691,0.036193666,19.56606851,0.005892919,0.18019899,0.988543294,-1.970164106,0.916481952,-1.03748364,0.940606212,0.830755376,0.365889601,0.490361599,0.594346581,1.126027318,0.191028327,0.553497357,0.585232358,0.559948207,1
pvalue11,hsa.mir.106b,1.098612289,0.898298412,-0.580372772,0.959839244,17.46745622,0.040586227,0.287682072,0.985234415,-0.775895643,0.955083235,-1.223708435,0.926323718,-1.201843727,0.924941317,-0.58718301,0.521388477,0.164804086,0.831081551,-0.376324884,0.624342581,0.790743304,0.793526675,0.786235192,1
pvalue12,hsa.mir.107,1.098612289,0.885335736,18.46745623,0.011964949,18.46745622,0.011964949,-1.169463227,0.903787702,0.632532618,0.961612096,0.292090125,0.982468636,-0.097535328,0.995413726,1.080113611,0.239622206,0.760991024,0.380716587,-0.778125406,0.396124118,0.18357208,0.269696246,0.210289329,1
pvalue13,hsa.mir.10b,19.56606853,0,-19.56606853,0.000168189,-0.191191453,0.27411032,-18.17977417,0.068382224,0.116967158,0.907851751,-1.767192676,0.89315105,-1.331454358,0.914042837,-1.888176989,0.046056109,-1.14683414,0.165665615,-1.426528778,0.067137326,0.196369339,0.177528195,0.122414213,1
pvalue14,hsa.mir.1180,19.56606852,0,-8.32E-09,0.640320273,-18.46745623,0.057215077,-19.65899775,1.89E-05,0.661826713,0.943379209,-0.07333628,0.991924463,0.099484596,0.991754514,0.41100674,0.587174202,-0.767730788,0.317718783,-1.364743771,0.11658687,0.156118718,0.188795146,0.138854956,1
pvalue15,hsa.mir.1226,19.56606851,0,-18.17977414,0.054731363,-19.1606034,3.84E-51,-0.155730947,0.342703544,-1.723083793,0.884090464,-0.99239689,0.94114387,-2.147384379,0.857983943,-1.778121386,0.077709283,-2.202916105,0.037760916,-1.840246135,0.066405251,0.282412704,0.203955102,0.10819959,1
pvalue16,hsa.mir.1228,19.56606852,0,-1.12E-08,0.434007466,-19.16060341,0.006485646,-18.49090353,0.027703298,-1.850268,0.891500235,-0.369705739,0.937220398,-2.281105281,0.810322607,-1.20394485,0.191008443,-1.803920736,0.048191631,-1.937130483,0.032352825,0.139343472,0.144834276,0.081963901,1
pvalue17,hsa.mir.1245a,1.98E-15,1,1.346843923,0.92360506,18.56606851,0.036753332,1.386294361,0.928953036,-3.279664802,0.801613481,-3.000041487,0.837474544,-1.721787756,0.877247839,0.132033968,0.90670556,0.898481153,0.425510444,0.844512057,0.452957176,0.605274422,0.620017825,0.601804479,1
pvalue18,hsa.mir.1247,19.56606851,0,-9.27E-10,0.93054036,-19.56606851,0.007465042,-18.53948606,0.054383193,-0.808431405,0.525056654,-2.449821035,0.79458882,-1.291147011,0.827328775,-0.775346979,0.30105918,-2.806754276,0.00636047,-1.90043384,0.032205582,0.020316546,0.04111205,0.012375594,1
pvalue19,hsa.mir.1248,0.693147181,0.944548075,17.87292133,0.065482092,0.916290732,0.953046393,0.228670548,0.987253512,1.094392555,0.937275197,0.920277826,0.945767969,1.381012696,0.918033605,1.069234813,0.263195007,0.535168654,0.530191399,0.43083036,0.643391842,0.72564437,0.722334588,0.708196078,1
pvalue20,hsa.mir.1249,19.56606855,0,-18.87292137,0.024296429,-2.72E-08,0.050897097,-18.25391238,0.064279776,-1.315751361,0.938068603,-0.673583029,0.964106729,-1.143782954,0.929099562,-1.79000627,0.063956185,-0.590350506,0.539091247,-1.502650859,0.106916728,0.24086028,0.205166413,0.14916216,1
pvalue21,hsa.mir.125a,1.098612289,0.905568377,18.46745623,0.034107611,18.23620082,0.130477377,-0.693147181,0.941560416,1.263672911,0.910921667,0.271111661,0.986163526,0.303355335,0.985811517,1.470457186,0.089897549,0.608809786,0.473919253,-0.366809266,0.655310747,0.166263239,0.164722389,0.113979182,1
pvalue22,hsa.mir.125b.2,1.098612289,0.901650613,17.46745622,0.036508236,-5.23E-16,1,-0.064820601,0.996239611,-1.111606993,0.951028803,-1.317404799,0.925507245,-1.520912867,0.913243951,0.438543094,0.567314507,-0.525509115,0.524177557,-0.627449474,0.445076325,0.501919194,0.480485164,0.450856638,1
pvalue23,hsa.mir.126,18.56606851,0,-17.46745622,0.045923566,-18.02849794,0.03114587,-17.17977415,0.036105329,0.448945683,0.69274373,0.167160364,0.874508769,0.124017415,0.982002,-0.484842256,0.528291468,-0.913780756,0.292930595,-0.513118838,0.471338681,0.748998561,0.746105291,0.734180006,1
pvalue24,hsa.mir.1262,-9.57E-16,1,20.56606852,0.020921168,20.4496852,0.023968482,0.405465108,0.973924656,-0.714983923,0.921395073,-0.455366966,0.638329847,1.089066464,0.868674864,1.096369203,0.343103186,1.040192682,0.341868644,0.500746529,0.665228251,0.648138211,0.695270415,0.675517169,1
pvalue25,hsa.mir.1266,18.56606851,0,-17.46745622,0.060821953,-17.92469341,0.051632768,-17.17977415,0.031884747,0.005631576,0.999209946,-1.053249773,0.947130805,0.27582938,0.961992792,-0.716977414,0.354227033,-1.137520989,0.202631916,-0.485543125,0.499745166,0.602544064,0.607372744,0.584526937,1
pvalue26,hsa.mir.127,1.098612289,0.906135606,1.48E-15,1,17.46745622,0.056646904,-0.05960958,0.996732096,1.421087969,0.91834922,-0.217124322,0.975333289,-0.477485926,0.956286152,0.483301991,0.557039226,0.407856089,0.596935949,-0.083798948,0.918975989,0.859355028,0.859736754,0.856218248,1
pvalue27,hsa.mir.1270,19.56606852,0,2.85E-09,0.855776889,-18.46745623,0.03273072,-19.21063921,4.98E-06,-0.579952205,0.964101901,0.348476476,0.939136968,-0.68095188,0.914053476,-0.061368032,0.940535041,-0.531851166,0.499323793,-1.258401315,0.120865422,0.336006365,0.378624413,0.336509689,1
pvalue28,hsa.mir.1271,0.693147181,0.942292395,-0.038918348,0.997478735,18.87292134,0.046447456,0.693147181,0.957668935,-2.970084344,0.848254295,-1.790547027,0.843031887,-1.875948768,0.845010259,-0.671760317,0.502406171,0.513978974,0.55268906,-0.093005221,0.915679682,0.542079218,0.563770724,0.536438146,1
pvalue29,hsa.mir.1277,19.56606851,0,-19.56606851,4.22E-48,1.08E-08,0.253373234,-18.23960776,0.02953485,0.201384812,0.987177914,0.405484521,0.978629168,-0.452377955,0.980918785,-1.469830364,0.091332631,0.103140717,0.902422687,-1.016855497,0.157574154,0.187910997,0.195035588,0.150857286,1
pvalue30,hsa.mir.1287,19.56606852,0,-18.46745623,0.006613509,4.99E-09,0.559826572,-19.69046721,0.000100043,1.694758659,0.890619032,-0.123649466,0.987126201,0.757012674,0.89109953,-0.113120773,0.882712951,-0.236458848,0.742799123,-1.183353908,0.172763459,0.478385814,0.566604941,0.526974881,1
pvalue31,hsa.mir.129.2,0.029369622,0.995601607,1.069242667,0.925822339,1.069242667,0.928076819,19.53669889,0.000254002,-1.901385782,0.905734704,-2.891465073,0.891749037,-2.776797116,0.90762283,0.054073242,0.953205279,-0.113920155,0.901059246,0.317603332,0.712185767,0.947911785,0.947597246,0.946868637,1
pvalue32,hsa.mir.1296,-1.093522951,0.002338027,21.65959147,0,2.19213524,0.832555476,21.65959147,0,-2.003538873,0.825791164,-3.971863104,0.579960827,-2.293344008,0.81731695,2.596895485,0.042728942,0.828170192,0.474482748,2.372208416,0.052931324,0.045313607,0.128269194,0.061009724,1
pvalue33,hsa.mir.1301,19.56606852,0,-18.46745623,0.020734315,-1.14E-08,0.604327399,-19.59415637,2.67E-122,-0.344730158,0.972788655,-1.249098127,0.924320122,-2.054836678,0.912707099,-1.258154249,0.132097012,-1.017622287,0.179827769,-2.337108877,0.016936122,0.088503422,0.118277037,0.068270532,1
