"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.3",1.76683661353217,0.418357766691551,0.496571006465311,0.941835948153046,17.4242524164339,0,11.6530736604858,0.0504637600552196,-0.236507358758984,0.523618420632606,-0.0798287248305314,0.857393241209742,-0.0211765478357117,0.948703036098645,-0.0181068643423967,0.950212463014232,0.329748044983374,0.25161751265477,0.339782760619,0.265732981934684,0.454209649814533,0.45260449536507,0.448512997599212,1
"pvalue1","hsa.let.7b",1.72285887573345,0.00635649247890591,-0.0705745037851223,0.986671691051552,18.4932122184467,0,18.6183743079121,4.84057238736568e-14,-0.45510382754288,0.298928199459105,-0.0380231207884072,0.933492018817571,0.166866231012773,0.546515588658515,-0.327265111258468,0.291972388993223,0.384571733470751,0.199932674653926,0.550799569081428,0.0515692049272332,0.0152618042790945,0.0183923995278838,0.0152800136585542,1
"pvalue2","hsa.let.7c",1.97841336392157,0.593260922921721,0.343196266313921,0.963762622920567,17.116148363545,0.00434989660989182,11.8419688720191,0.117603354266535,0.318565155155207,0.42939839585001,0.524562415255726,0.0794891117662313,0.219740570548986,0.60227792193459,0.325433052096605,0.263474979882061,0.790857142655903,0.00904817454561355,0.472796775273065,0.119844190295615,0.0704492218531391,0.0706438441633499,0.064507389138063,1
"pvalue3","hsa.let.7d",1.67786544447127,0.773504976397236,0.783983019392939,0.934302807823371,16.4502273025249,0.0187745379218471,15.4789938436197,0.0979842935484159,0.298216695941841,0.354007289895015,-0.215127896929052,0.537475691993298,0.0197021472709845,0.950283924080749,0.425978225496558,0.14203682353222,0.175894843170769,0.558967440713299,0.435898489070134,0.16061054384144,0.384839764027021,0.39402929170339,0.388584947211364,1
"pvalue4","hsa.let.7e",2.14175400582005,0.662719826780156,9.08092554306256,0.366864728418486,0.169215224571763,0.984675332633584,10.4301083219088,0.228540928262392,-0.10151693647843,0.67069764606664,0.256363168927259,0.597443772921753,-0.174231052956656,0.569915246866652,0.170620166378887,0.556737672620343,0.258877476964766,0.366388356228019,0.115359873654504,0.694153916178354,0.834840063112213,0.835815147209981,0.835070680413845,1
"pvalue5","hsa.let.7f.2",1.54480898513179,0.399368231768885,1.56233975987326,0.866276685330679,17.4626062911592,0.00135091782627161,5.78637646738112,0.358856226230157,-0.0480460981606291,0.901456741757845,-0.255581702931052,0.505893927209689,-0.273271371980329,0.379510405134957,0.327116487278256,0.255207225563893,0.244264761529696,0.385653266089341,0.171017135237312,0.581629993830105,0.694431611137694,0.700337724689462,0.698345440587813,1
"pvalue6","hsa.let.7i",1.12337506902977,0.0836097062647965,1.65007451264149,0.832257310063026,18.9137363565984,8.38218383591993e-13,18.9041128178146,0.000397587075731121,-0.400669580618345,0.328389055916334,-0.497653292669433,0.151481632512833,-0.287489197520196,0.456473109490504,0.230924564783582,0.44567479591114,0.251305186699339,0.413668310922069,0.456591381817995,0.118114384050182,0.479156411510311,0.484105670917766,0.479387263226629,1
"pvalue7","hsa.mir.100",1.83520508051022,0.70223991722511,0.557989303998141,0.946505315701295,14.2011505870233,0.117646464247468,16.1941753908604,0.0201397346510168,0.115469818489757,0.745944467144059,0.257888471494615,0.398059194457357,0.0012573012714931,0.997163645819637,0.252480420878671,0.394801365838421,0.569739881367594,0.0473278467476547,0.318318198739376,0.286969561110985,0.264597325902763,0.264725625409291,0.257570444177936,1
"pvalue8","hsa.mir.101.2",1.4169678302177,0.247429854424627,17.7509415847511,0.00280632887770449,1.39827554437822,0.875128226809894,9.67009599878789,0.130137574023782,0.0923800468743147,0.750043656207559,-0.116154634417319,0.658994224757619,-0.140012057526506,0.728621173127009,0.580974750884914,0.0451884365062091,0.270786300105968,0.367473628137048,0.365156421447914,0.237124031914435,0.24492712248868,0.251466463901756,0.244241292127857,1
"pvalue9","hsa.mir.103a.2",2.49792604527493,0.55150963298192,-0.0122266907223679,0.998581352291749,0.266320656294589,0.977672142785469,10.1990988657573,0.149136706273125,0.302620859067698,0.360306143655447,0.488646836332702,0.0998011045186111,-0.448422340310928,0.138403808291315,0.265493321342236,0.340214188446295,0.41400789886082,0.156605946979235,-0.215620644481463,0.469666998887136,0.169388286123559,0.172764424426245,0.165585325080748,1
"pvalue10","hsa.mir.106a",2.33461484731337,0.684251620038533,0.164520698763207,0.984580672004184,3.82688364645038,0.715406358623991,7.13295349175921,0.337227060787016,0.171576630949237,0.656876662987998,0.554616253973182,0.201970419378982,-0.203943978496702,0.563364022291636,0.155398166922966,0.606039087996546,0.725344314103937,0.0214161244082446,0.0204180571312366,0.9516062703467,0.0613134523043196,0.0452831920354789,0.039795749222036,1
"pvalue11","hsa.mir.106b",2.02854073175627,0.656199950032755,0.0796992424425538,0.990340367043587,8.72878842366439,0.295659610025924,17.0501814921289,0.000276140982447215,0.00568935779550426,0.986741758406974,-0.108463251813559,0.772500743277374,-0.057533107668287,0.870279997252563,0.0118109607738092,0.968111425557742,0.190040614052679,0.513169382651954,0.295859613956244,0.317108965166846,0.703994117672974,0.700252505290996,0.698443009301816,1
"pvalue12","hsa.mir.10a",1.76629306982223,0.260058857601174,0.172771768438167,0.976537223616557,17.5453147932249,0,12.0068811903678,0.0601926004798869,0.200907436917747,0.473623990407646,0.0748573494825634,0.826390274940396,-0.22777045493958,0.465586233113723,0.210613262797748,0.489783721273047,0.465507862106929,0.124684613837545,0.175041415886592,0.586909998790301,0.472147173801259,0.466962983011981,0.461971263793943,1
"pvalue13","hsa.mir.10b",4.48046220527283,0.573418404793331,-2.60755134975936,0.755436839267588,0.136407920828504,0.988039442209473,-1.83090824265442,0.866566097404349,0.191895138658385,0.495241505628422,-0.701919816595645,0.126648701824109,-0.390647325867582,0.210585128427369,-0.199737227114912,0.472937056664501,-0.607984407940835,0.0366563080933261,-0.488720804287739,0.0833453445234805,0.135227023419385,0.136029972230904,0.129240774011749,1
"pvalue14","hsa.mir.1180",1.84002371734036,0.559903737175553,9.13404524973694,0.227589652898829,1.19125170400854,0.893535813945558,13.2314894321708,0.067764302760924,-0.220717324232762,0.525098739327643,0.300422332253514,0.210295415141928,-0.231579265947023,0.449864609221384,0.150426184189347,0.611592295215147,0.462594896383444,0.104169669898049,0.161030139584106,0.587293258990393,0.437421387306489,0.421790886908273,0.416264839150503,1
"pvalue15","hsa.mir.1224",2.61711379344185,0.74019537480269,7.28871046436175,0.486332099107316,-0.269106902236807,0.975625700238027,0.0865033577067222,0.992691926064647,-0.695698869877519,0.0339512135232307,0.368531144076019,0.245931743293207,0.238465767825554,0.563839916043051,-0.447438856048396,0.167458767672323,0.249733263474024,0.36313285904221,0.251151231261573,0.387611480224332,0.0855429500729638,0.109768187778123,0.101081336728979,1
"pvalue16","hsa.mir.1226",1.6990516219738,0.676476576034911,6.3089595965649,0.357557738913053,18.7649846379428,1.73452212592906e-08,5.80586456271065,0.362791009914041,-0.00619577276553161,0.983306282719123,0.510377873266269,0.0413497240860801,-0.391344637912897,0.305199204222066,0.375330559000809,0.242843342087683,0.891183469882477,0.00294341909109521,0.0525572223725821,0.871066688183052,0.00864100600054559,0.00677215233456948,0.00514369969550146,1
"pvalue17","hsa.mir.1227",1.35610145529025,0.737357817184837,3.97834199682596,0.67364810981393,17.8330797136299,1.2733537719134e-05,0.453830308718497,0.941736725109604,-0.330701860509547,0.42547002785183,-0.308568991209168,0.469869084491469,0.0979420318524887,0.876915773882084,0.191543761162778,0.54365486599598,0.204671836094335,0.503056677438767,0.227374082492145,0.482783757207706,0.88835031226217,0.894229633128754,0.893729727589797,1
"pvalue18","hsa.mir.1228",2.09217151668466,0.770961696300597,16.2275894484545,0.030919444182234,-0.0762786520409734,0.992979308623269,7.11556408513193,0.512051119372357,-0.491652444837061,0.124148083910931,0.0878937939440693,0.821405439759329,0.218579326994657,0.554290108402472,-0.152581160067132,0.61425319576064,0.0410570066157099,0.891952303986984,0.507039155238379,0.0710850902565704,0.11712255528333,0.100649043799696,0.0938063522955997,1
"pvalue19","hsa.mir.1229",6.66335429736947,0.297701577477562,-4.82337217188853,0.466097147842724,-3.99187262682387,0.709376442704669,3.72779849380262,0.709152980902771,0.492743552766071,0.115570949770295,0.389691932844233,0.220985653131162,0.506478024736039,0.0997616141662396,0.102942390263943,0.753886310470425,0.209701461288811,0.47433813828009,0.454682835250988,0.130613883075103,0.462599731551767,0.454472987805984,0.449494887426285,1
"pvalue20","hsa.mir.1234",2.19709591570972,0.554568748571542,15.2725374783075,0.0548881987824628,6.97368310105275,0.420550912890529,-0.302471080894284,0.959144866731415,-0.396319821087921,0.188400771478895,-0.0131648289142476,0.971973538325004,0.230378872021596,0.510596372632858,-0.0727039538142626,0.808148053344184,0.255726637064412,0.373405395478641,0.123548736894193,0.669944293952669,0.699759607083904,0.696577148958629,0.694655867294757,1
"pvalue21","hsa.mir.1247",2.46844679612026,0.723357400004487,1.56637126047681,0.87185952345409,1.27189960779537,0.904487749420332,0.0943539769353238,0.992096785296639,-0.0218082202721225,0.953985124991525,0.567099557390597,0.171800587962952,0.298365255162805,0.437468486372633,0.0900731595219676,0.764087422989484,0.624429848876959,0.0339612877913773,0.252063239310232,0.378642681026092,0.177396337396421,0.158934651157161,0.151238673353433,1
"pvalue22","hsa.mir.1248",2.64043092299185,0.734799336435565,-0.486249869470786,0.951403158532188,1.83067066533433,0.844547182399883,1.55695982592833,0.878459933571943,0.466589270937044,0.160499310529108,0.124861885173616,0.611395414065053,0.0988241932532459,0.803958697645802,0.259886748353749,0.39131164328497,0.226238422074524,0.42433794645794,0.190064767568922,0.526603017626331,0.813244180487833,0.820289051072996,0.819353329444277,1
"pvalue23","hsa.mir.1249",2.63846446889239,0.74926779800942,0.27880513119222,0.9814385801219,0.0167958540921966,0.998737528220164,-0.19138037400407,0.984814602860546,-0.00488777234420857,0.987367690593937,-0.136012546659756,0.69895824186268,0.438354868927191,0.163817849014168,0.0779258797089272,0.786302900060005,-0.0681400398852005,0.820096546016309,0.326342983507391,0.271850734632305,0.592235856261253,0.57695942259975,0.573358934806189,1
