"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.3",5.69200658992404,0.218212051405668,2.06480988525105,0.791046053923538,-3.23376188836242,0.446783608167362,-4.9434488622998,0.292590329627896,0.481346457111656,0.373454378162476,-0.224665276532151,0.765750480047384,0.888635008067001,0.0630199946925283,0.377896891051552,0.309338198135996,-0.410309310929431,0.353182809195788,0.00952970712532612,0.97891815759261,0.332276941585576,0.342659834059939,0.329184384262999,1
"pvalue1","hsa.let.7b",3.72150014450715,0.35094093584673,2.99234942304077,0.695210183756374,-0.914074500154289,0.847587842295029,-2.64561627707391,0.522908444019879,0.307785955525906,0.626951643473994,0.179072111030154,0.742300062246595,0.620775554700834,0.26957510438134,0.282750951265976,0.459128783351817,0.0594844988180677,0.888880543702128,0.0449354524393706,0.904680194594796,0.882248301749225,0.877001020193775,0.876163215398139,1
"pvalue2","hsa.let.7c",4.90277831978549,0.40075832627132,0.450451685675574,0.949177851486805,-3.86130194493387,0.647223474218917,-2.30642909772382,0.713813576281079,0.427464240331279,0.470249144452706,0.632773007222798,0.278766666573428,0.0508506210332806,0.933332881877845,0.362808961140008,0.338165032994082,0.0271967216563752,0.943051304204651,-0.095399569842897,0.814645775125727,0.669485995709622,0.653416850496433,0.648751204438614,1
"pvalue3","hsa.let.7d",2.57804946927154,0.334525474506421,-1.26587679466438,0.806688794579588,1.53069307826518,0.641263490690211,1.06672542607481,0.815532900337334,0.543176471451269,0.590209495888161,-0.17058714741764,0.822106471289578,0.188976279775135,0.789279471420025,0.170872355657956,0.672972615575909,-0.12047645422774,0.760417125736253,0.214550133167747,0.555287702116668,0.807769507694239,0.810499829215968,0.808968726751834,1
"pvalue4","hsa.let.7e",4.13382202310848,0.3257083066679,-2.46283875696653,0.686201584827988,4.41381829236792,0.404958629833521,-3.65562782285986,0.403798677629002,1.10925061673396,0.112867200955148,0.220161242855492,0.805149509422828,1.19198780184758,0.137681737723881,0.606681520234605,0.125526334029091,0.127227741282528,0.753404044626601,0.0718809667613839,0.849685471709305,0.435339353651614,0.401769149507945,0.390923649576751,1
"pvalue5","hsa.let.7g",1.46024196934964,0.400555854822393,2.26238266028595,0.579073847484248,6.32044401152218,0.180849495214161,-0.882429179437132,0.721395596397502,-0.234520840433393,0.72995673475726,-0.374761761146864,0.453237946085778,0.490411186747724,0.277924292989363,0.0599326497489772,0.880294913949747,-0.0764683800890431,0.848345030949968,-0.0364795074115288,0.922040839222883,0.989121595153102,0.98903661374676,0.989021186662191,1
"pvalue6","hsa.let.7i",6.40380052226955,0.282827870936035,-5.0561431490647,0.462912534171133,-2.87713296311075,0.722562518331315,-5.45220063004748,0.385369983946661,0.50675808954494,0.3487878335216,0.204917242134005,0.727054245374115,0.438814360645593,0.512175481478487,0.0225010107403093,0.952834445742341,0.0791182395180205,0.837033028157539,-0.154566319351836,0.696326369682422,0.943630639682084,0.945486948630783,0.945249822525383,1
"pvalue7","hsa.mir.1.1",1.03799269810557,0.116550397119562,8.8460809553648,0.0943905198052419,-0.353656174027714,0.853029249032878,-0.0530642883188679,0.957097179138357,-0.831757523163462,0.048253619489424,0.234317990484363,0.746120368521625,0.447339326794001,0.416492650168016,-0.0932419144858582,0.816346682234367,0.0991827897374583,0.802877488494604,0.334265491442631,0.391758060423503,0.714173717882252,0.705954579753717,0.702586743878324,1
"pvalue8","hsa.mir.1.2",0.412504112411256,0.733402737913477,15.063418028089,0.000442575129480982,0.752815306454512,0.606706444126044,0.464809148943361,0.843001971202125,-0.363109821771853,0.583820275736006,0.368786204629664,0.511176605040636,0.341519223461674,0.572230568824267,0.519051574893991,0.242218559689072,0.668810831782475,0.11848742313378,0.474564957692848,0.287482864487255,0.435544586410626,0.480245894666644,0.46867088296056,1
"pvalue9","hsa.mir.100",3.85768542020459,0.529964123309502,-0.0407115683339231,0.995334226850334,-2.20270673745455,0.77050645773934,-3.03988183110129,0.632860577906894,-0.0348847602876488,0.947904895230686,0.522950918733823,0.336603084358674,1.08504462560858,0.0891739205814901,-0.152569673478705,0.71690564683125,0.134829551465315,0.714329790347994,0.295218145542744,0.439447931493694,0.723329281922596,0.724422507459139,0.721282401687875,1
