,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,-2.199896472,2.74E-08,-1.039426068,0.136119508,-0.057038134,0.909206962,0.538916803,0.369406698,20.73948516,0.015939351,20.6103331,0.035427057,19.40351716,0,0.43260626,0.724209761,1.350174334,0.218382145,1.5236109,0.155316293,0.232685107,0.328213878,0.27105307,1
pvalue1,hsa.let.7c,-1.910240313,0.018912473,-0.348097091,0.699991837,-0.600126463,0.536452424,-0.27743345,0.785412083,1.034346182,0.922081974,2.401747,0.818853228,0.729125669,0.949603223,0.065282341,0.932055648,0.364083208,0.633939739,0.04183654,0.956367959,0.959998951,0.957147964,0.95661221,1
pvalue2,hsa.let.7e,-1.726995558,0.104189603,-0.72679371,0.528688995,-0.931559845,0.467041361,-0.155963353,0.899589474,2.9468201,0.727513175,2.296279054,0.782252289,1.606192224,0.846160027,0.525989488,0.544203598,0.070976004,0.938231856,0.613784297,0.455097524,0.79534963,0.806591683,0.80074378,1
pvalue3,hsa.let.7i,-1.880626102,0.006747676,0.127788848,0.896390727,-0.342598779,0.739965903,-1.471953814,0.126044548,1.423682664,0.764174885,0.601244793,0.897265258,-0.528575231,0.963708343,0.606565415,0.333539844,-0.120574133,0.874673636,-1.512329887,0.176225014,0.103149796,0.209770045,0.128021205,1
pvalue4,hsa.mir.101.2,-2.042251392,0.000609511,0.274877722,0.77489754,-1.041468158,0.262260639,-0.302825208,0.766781899,-1.03743533,0.913136719,0.142912975,0.985347962,-0.599677864,0.952828548,-0.104521825,0.868829796,-0.955509307,0.2536516,-0.503579422,0.490650697,0.616307925,0.658714904,0.639323321,1
pvalue5,hsa.mir.106a,-2.102207349,0.000836059,0.063934566,0.950608127,0.009440675,0.991826156,-0.53780281,0.548353621,-0.590473756,0.946850739,0.187488154,0.956240267,-0.619993689,0.942611066,-0.141618732,0.841327671,0.063206385,0.925000348,-0.735372194,0.395837452,0.76788854,0.805202431,0.795028887,1
pvalue6,hsa.mir.106b,-2.25318504,2.38E-05,-0.080370588,0.931545124,0.071964768,0.940940743,0.181148122,0.835371219,-0.716925417,0.902466104,-1.606565584,0.87240666,-0.34070201,0.949504518,-0.364780576,0.633533369,-0.516261328,0.500035668,0.010069999,0.988078297,0.85545836,0.861405788,0.858077497,1
pvalue7,hsa.mir.107,-1.966231537,0.000749521,-2.307253274,0.000836855,-0.126282956,0.897548621,0.006066787,0.994933644,1.872752828,0.818076807,-0.735132822,0.878873523,-1.36690564,0.826331583,-1.728190345,0.114726491,-0.398141405,0.553187237,-0.384761374,0.545696274,0.317413441,0.470759493,0.395415944,1
pvalue8,hsa.mir.1180,-1.618245863,1.94E-05,-2.710785345,5.43E-05,-1.093723622,0.151775637,-0.274681069,0.773409721,3.375507605,0.703178004,0.877225983,0.274567907,-0.328351656,0.949142422,-1.698287377,0.112569213,-0.772466853,0.263342059,-0.44170139,0.482786897,0.265561263,0.359688851,0.297540634,1
pvalue9,hsa.mir.1224,-2.388046452,0.000450751,1.084723967,0.183598376,-0.938110651,0.288140069,-0.071807952,0.93979221,0.184316142,0.952037944,1.06772,0.808130546,-0.062721657,0.981783499,1.061727746,0.179333344,-0.553698312,0.580039564,-0.082577956,0.927940977,0.097694761,0.10036872,0.064210389,1
pvalue10,hsa.mir.1226,-1.784479225,0.002575259,-0.902007128,0.271531426,-0.333237681,0.709642856,-0.266553144,0.782015146,1.055077433,0.862288754,-0.276560284,0.958437711,-1.377948407,0.865130366,-0.508416338,0.507224453,-0.38368048,0.616255785,-0.648832673,0.396550547,0.868579685,0.856714449,0.85237936,1
pvalue11,hsa.mir.1247,-2.794676349,0.000146977,-0.134900073,0.88533573,0.108101614,0.903753383,1.565729867,0.081156367,0.023416688,0.993795437,-0.109705796,0.982711168,-0.338102875,0.910223304,-0.12005264,0.904471481,0.053156411,0.953622969,1.306769648,0.098381614,0.098444958,0.089042721,0.056869495,1
pvalue12,hsa.mir.1248,-2.861131838,6.15E-10,-1.058502555,0.112730406,0.531958398,0.519135271,1.409652977,0.024735418,2.052286367,0.529517848,-0.531617189,0.301404296,-0.592666704,0.402059342,-0.478334412,0.696175932,0.316267838,0.71501575,1.103788717,0.162900237,0.212164047,0.240382492,0.193530906,1
pvalue13,hsa.mir.1249,-2.796847628,4.54E-06,0.398551084,0.677597269,0.294154732,0.761927823,1.149812581,0.186164467,-0.917357313,0.838063603,-1.735403345,0.753720469,-1.820081654,0.716561736,0.0234974,0.975486918,-0.328297486,0.719352919,0.409343633,0.562750664,0.801913975,0.805468295,0.798985757,1
pvalue14,hsa.mir.1251,-1.752477454,4.42E-06,-1.543392899,0.017300907,-0.973990754,0.33020573,-0.011663984,0.987072593,-20.35790949,0.001694667,0.783219545,0.461708323,-1.201660333,0.849789547,-2.059979789,0.054161826,-0.581762023,0.400054426,-0.469648426,0.454267787,0.121278036,0.263105411,0.168242697,1
pvalue15,hsa.mir.125a,-1.493140545,5.13E-07,-1.036281897,0.157435432,-2.163296037,0.00025364,-1.032067115,0.282417873,0.165249773,0.850463774,0.35894803,0.646448145,-0.607683805,0.905577933,-0.905811827,0.174739229,-1.910480473,0.070369497,-1.240559683,0.113623391,0.085301087,0.122962022,0.0762442,1
pvalue16,hsa.mir.126,-2.752573389,1.69E-07,1.07926087,0.141288151,0.696604149,0.460360833,0.238941479,0.776596762,-2.788683883,0.688011369,-1.569079633,0.796299595,-3.152228264,0.711593758,0.322041724,0.631290952,0.3116433,0.660760705,-0.582375171,0.501472978,0.660398392,0.707273696,0.689937176,1
pvalue17,hsa.mir.1266,-1.932672422,0.001599447,-0.074381175,0.934598,0.060620272,0.95213802,-1.388325894,0.139840273,1.01947658,0.909289554,0.847158462,0.924804904,-0.573591522,0.956647454,0.273058321,0.684560577,0.356346027,0.595585152,-1.466377401,0.189794518,0.202677939,0.396590609,0.295349672,1
pvalue18,hsa.mir.1270,-2.13824877,0.000466724,-0.201332938,0.820423619,-0.399457946,0.675271402,0.182065108,0.83267597,1.175990582,0.851788477,1.313897802,0.837017618,0.98820662,0.91025288,0.198211135,0.79526526,0.082442154,0.919610977,0.493379246,0.499432198,0.905832303,0.902370838,0.900486832,1
pvalue19,hsa.mir.1271,-2.23936135,7.51E-05,-0.559655264,0.57140777,0.346572738,0.724928955,0.266763131,0.760726761,0.150661665,0.969880117,-1.945628101,0.759133147,-1.270986242,0.894675581,-0.489689139,0.521524951,-0.295343951,0.676315243,-0.159873874,0.82115802,0.92900925,0.930018192,0.928840756,1
pvalue20,hsa.mir.1277,-1.644810948,0.000825174,-0.552378648,0.444439123,-1.733368706,0.021812705,-0.480913983,0.632067353,0.601328906,0.845333803,-0.394988369,0.899688689,0.14051915,0.966706736,-0.290976822,0.64560393,-1.754026736,0.10942907,-0.392040469,0.559068809,0.287952526,0.458928619,0.375904332,1
pvalue21,hsa.mir.1287,-2.463323877,3.18E-05,-0.124665998,0.882503358,-0.126394349,0.892468781,0.902960131,0.20746569,0.575457916,0.897778909,-1.290159979,0.900106036,0.040360127,0.988105668,0.113352256,0.889623591,-0.456451648,0.61715387,0.848434369,0.21897978,0.306486619,0.311516872,0.271177684,1
pvalue22,hsa.mir.129.1,-4.266362535,6.84E-23,2.155325677,0.001430521,2.912035968,1.05E-05,1.89486613,0.028644163,-2.004602182,0.806813214,-2.911796686,0.718127826,-2.722721152,0.749721028,1.573465195,0.150959978,1.939364496,0.072664185,1.079450367,0.350000997,0.156987562,0.265964025,0.189935023,1
pvalue23,hsa.mir.1296,-3.886126352,1.43E-15,1.764358557,0.006393895,1.889628694,0.037244083,2.086743855,0.005844009,0.312188937,0.926737209,-2.500402633,0.811029289,-1.909794563,0.791678741,1.75889787,0.103498592,1.091942758,0.344338069,1.439478666,0.188959776,0.257082028,0.388041526,0.314160568,1
pvalue24,hsa.mir.1301,-1.600532641,0.003217077,-0.556770048,0.564150966,-1.192863343,0.197210852,-1.121989784,0.16157345,0.682141418,0.923290548,1.235683114,0.742781122,-0.570286254,0.963903061,-0.285023263,0.65980479,-0.707546258,0.317275584,-1.229550106,0.132173395,0.397796048,0.445889285,0.408174111,1
pvalue25,hsa.mir.1306,-2.003926206,3.22E-05,0.024610596,0.981213277,-0.668021747,0.409154433,-0.194949483,0.835876993,-1.483826064,0.873252833,-1.365055057,0.824202476,-0.77129405,0.646261981,-0.477049098,0.500331765,-1.104444766,0.176276428,-0.424678279,0.510894458,0.546830514,0.584512305,0.558096429,1
pvalue26,hsa.mir.130a,-1.968918512,5.39E-05,-0.211445194,0.807214571,-0.847482687,0.306732766,-0.346234285,0.746196487,0.647819695,0.939564953,1.5966831,0.742072061,-0.101420473,0.983523705,-0.009613551,0.988577378,-0.21015588,0.774442777,-0.397366608,0.586749529,0.942417099,0.945459844,0.944669729,1
pvalue27,hsa.mir.130b,-2.632289966,6.95E-06,0.105023963,0.918179788,-0.095102725,0.932250658,1.171637012,0.127141189,-1.604351403,0.857129012,-0.560066432,0.89192616,-0.138105689,0.844932537,-0.343389412,0.706818877,-0.302830739,0.740324493,1.045295378,0.122784262,0.125031742,0.120764401,0.08414559,1
pvalue28,hsa.mir.132,-1.705288115,4.83E-05,-0.809486211,0.326777442,-0.512638216,0.534891138,-1.033804485,0.184854629,-1.583185477,0.908957457,1.279568267,0.8050373,-0.991516576,0.893320383,-1.082779599,0.185560843,0.009367489,0.987683505,-1.253209252,0.125032209,0.198921905,0.25680692,0.209245752,1
pvalue29,hsa.mir.133a.1,-3.301120558,2.08E-08,0.716771571,0.351163525,1.612221459,0.059035005,1.231678413,0.15589037,1.196884323,0.824772052,0.289394564,0.968959707,1.644872685,0.7666133,1.069827051,0.35419434,1.667105789,0.122890824,1.776085215,0.105249317,0.20410153,0.342008156,0.262958377,1
pvalue30,hsa.mir.135a.2,-2.25157855,0.000187269,0.613667556,0.414873978,-1.372001263,0.097699866,0.303142705,0.774826029,0.53200118,0.94230414,0.387344473,0.957142884,-0.078072903,0.989024683,0.727167345,0.261324934,-1.215750957,0.276996947,0.196286586,0.781974398,0.185125129,0.288104727,0.212996955,1
