,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,0.114330073,0.888442301,-1.205709274,0.265227653,-0.470116994,0.705809248,1.845675901,0.127502937,1.345890355,0.240995898,0.106576727,0.930736916,-1.022677721,0.350810983,0.047501551,0.929975088,-0.241137843,0.666425075,-0.154743818,0.782433179,0.950559598,0.951158305,0.950827417,1
pvalue1,hsa.let.7b,0.581631459,0.650619612,-0.821466933,0.606984996,-1.662679561,0.230194921,0.152001072,0.923477881,-0.13608231,0.907082365,1.362351248,0.251824735,-0.84124582,0.599195431,-0.597920895,0.297581425,-0.293906133,0.571056468,-0.548577534,0.310925096,0.689276279,0.680223448,0.672811692,1
pvalue2,hsa.let.7c,-0.419525712,0.368408492,0.180729619,0.912205177,0.681538116,0.595845215,1.276898407,0.388281389,-0.943141362,0.540925522,-0.708799799,0.66174626,-1.149425524,0.18495156,-0.474826406,0.454965358,-0.014810806,0.978048174,-0.079248926,0.879067966,0.864881498,0.879555267,0.877011852,1
pvalue3,hsa.let.7d,0.402757227,0.673254675,-0.951996833,0.509903972,-0.580336466,0.641046348,0.000770735,0.999637054,-0.012362268,0.985907488,-0.086082805,0.903192703,-1.366418186,0.847165966,-0.560019287,0.308471549,-0.370960959,0.454878204,-0.904012451,0.129048153,0.435984057,0.449719108,0.430789574,1
pvalue4,hsa.let.7e,-0.06223937,0.938124369,-1.779725095,0.113420556,-0.635503483,0.599650322,3.300166617,0.014597035,-0.236179714,0.817472631,0.210131809,0.844496201,-1.029687653,0.330307967,-1.536389415,0.049582603,-0.249116149,0.638959088,0.069782856,0.883420722,0.08401709,0.209111842,0.143884601,1
pvalue5,hsa.let.7f.2,-0.403339637,0.661947611,-0.176357544,0.874929823,0.92830966,0.36610842,1.978938707,0.109938153,0.193224142,0.857136669,-0.309853512,0.763900834,-1.355433104,0.130453425,0.070043969,0.901334628,0.31205681,0.569871015,-0.10946316,0.858559047,0.890767131,0.887784381,0.886367784,1
pvalue6,hsa.let.7g,-0.221541018,0.752766125,0.017883423,0.986115419,0.813487478,0.396862064,0.753392398,0.57285331,0.041614896,0.970878196,-1.318838938,0.238056591,-1.472904193,0.186356876,0.098068834,0.847229802,-0.566192709,0.319634692,-0.583001957,0.300112766,0.496702797,0.508407949,0.495026102,1
pvalue7,hsa.let.7i,-1.027513533,0.268273087,1.058903901,0.530176297,1.052694877,0.482899752,3.219534734,0.141126733,-0.575120688,0.653845447,-1.074448253,0.485874349,-1.620352141,0.192267689,0.436134554,0.438685134,0.021867705,0.972647646,0.30567674,0.60614691,0.825265497,0.82755362,0.824951029,1
pvalue8,hsa.mir.1.1,-0.697201506,0.537040298,-0.188215877,0.891536128,2.671623745,0.228474463,1.504993016,0.333534008,-1.40497473,0.124471386,-1.987207854,0.176876738,-2.266090281,0.054619098,-1.235753559,0.054096071,-0.333015985,0.596473255,-0.796450391,0.20028976,0.208012975,0.201178535,0.175447348,1
pvalue9,hsa.mir.1.2,-2.115384249,0.000119304,2.279577307,0.117060699,3.045325823,0.032169126,2.186315716,0.078861685,-2.507550812,0.553901669,-3.068302944,0.451342949,-2.350683573,0.565635551,0.703691918,0.36845683,0.632169952,0.432636076,0.740533798,0.360168364,0.779122387,0.822678559,0.814378948,1
