,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,1.017536321,0.771876103,-1.084332089,0.809862589,2.104527712,0.596859274,14.44716412,0.113482083,0.187079773,0.87111959,-0.525819574,0.309418454,-0.3799447,0.399259235,-0.45951029,0.355438127,-0.05876209,0.89891068,0.251385724,0.5380337,0.4488928,0.47540769,0.462755137,1
pvalue1,hsa.let.7b,1.131430539,0.353313972,-0.52413801,0.861167257,6.108148646,0.338934196,3.46977497,0.530472773,-0.141233425,0.837062633,-0.53730489,0.418567173,-0.322962766,0.611416577,-0.464889622,0.354976375,-0.076991245,0.871012979,0.075834504,0.867980558,0.619190382,0.64522465,0.638499009,1
pvalue2,hsa.let.7c,0.692351195,0.691987089,1.185305988,0.731898483,-0.050982837,0.986782132,15.09286587,0.00123516,-0.922566254,0.146898222,-0.121464607,0.831459775,-1.146665436,0.057437257,-0.277788595,0.549306409,-0.158966105,0.71930277,-0.142097952,0.742401077,0.94810216,0.947730226,0.947460492,1
pvalue3,hsa.let.7d,0.441644809,0.731472464,-0.631651137,0.703288911,17.46297062,6.31E-08,7.724837953,0.339116113,-0.992928174,0.232579045,-0.584176282,0.391188619,-0.701979685,0.320393694,-1.100359243,0.051708222,0.326482946,0.456336527,0.262028956,0.538033438,0.012673783,0.041587227,0.024095119,1
pvalue4,hsa.let.7e,4.910069091,0.273161097,-5.67286661,0.221298258,-2.310233485,0.725296002,9.134161641,0.281211435,1.378837371,0.128649523,0.112384531,0.847010795,0.238238795,0.534417595,-0.592442967,0.268829846,0.047321068,0.915548784,0.305963738,0.472844449,0.281676493,0.328994041,0.309268768,1
pvalue5,hsa.let.7f.2,0.632871038,0.847638732,-0.135340771,0.970361639,2.433721689,0.578852693,18.31229796,1.57E-07,-0.254954195,0.744938966,-0.849937071,0.259199223,-0.361409835,0.58015987,-0.282617618,0.550775265,-0.137839591,0.771674237,0.420127929,0.319836843,0.356290431,0.339640726,0.326349495,1
pvalue6,hsa.let.7g,0.225989619,0.802021454,-0.321721955,0.863131116,7.454606751,0.181568682,12.35913465,0.104026143,-0.740767923,0.524601949,-0.982411389,0.019306176,-1.29930856,0.000600285,-0.696025043,0.171304772,0.194994952,0.663176208,-0.003932927,0.992745634,0.244137138,0.302621169,0.281515737,1
pvalue7,hsa.let.7i,-0.103306905,0.94121932,0.501554916,0.794097753,6.869472189,0.290014343,12.0587858,0.0371216,0.545927748,0.425271065,-0.05779817,0.914676604,0.041984468,0.932541155,0.539808582,0.362012999,0.875916084,0.134997824,1.026974166,0.06849737,0.202161306,0.250131497,0.227756814,1
pvalue8,hsa.mir.1.2,0.555117911,0.84523921,-0.217927156,0.942051931,-0.180610143,0.949733627,16.78921795,0.059800392,-0.69018096,0.428459777,0.416480696,0.688401623,-0.647417441,0.431894266,-0.594779641,0.251574457,0.273542438,0.568403512,0.285432064,0.50814083,0.175409216,0.229681825,0.207722431,1
pvalue9,hsa.mir.100,0.920929416,0.761910721,1.804477593,0.57867569,0.179593574,0.977231002,7.73106884,0.268349384,-1.215310042,0.052231995,-0.660580993,0.273919485,-1.373838698,0.026874948,-0.567411411,0.194368701,-0.432634338,0.321281042,-0.476584798,0.252153684,0.556032984,0.531471713,0.522704668,1
