,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,-0.926552757,0.025794432,0.808628915,0.490598416,-0.437726456,0.581207679,-0.024356348,0.978025203,-1.061279841,0.367562235,0.657970787,0.59305346,0.304921788,0.781552022,0.000831374,0.998974908,-0.053520205,0.934281615,0.12635617,0.845819438,0.995278505,0.995147194,0.995134377,1
pvalue1,hsa.let.7b,-0.463958014,0.497728465,0.208991196,0.893529587,-1.218616926,0.175328337,-0.577791583,0.620789168,-0.986045822,0.928705162,-1.016574893,0.820626222,0.498907789,0.370722589,-0.382999658,0.514693952,-1.647456475,0.123955268,-0.253346355,0.665641232,0.319782584,0.481998409,0.410456355,1
pvalue2,hsa.let.7c,-0.376686833,0.573650709,-1.490340883,0.165212702,-0.281179393,0.845499877,-0.346759267,0.732037284,0.265845097,0.962629826,-0.4807974,0.935830403,1.060293789,0.135779139,-1.058007847,0.196015795,-0.41016144,0.525375259,0.307437153,0.596171876,0.297917717,0.356364679,0.315219083,1
pvalue3,hsa.let.7d,-1.103641304,0.054465319,0.593115013,0.463740071,0.296374577,0.781039123,0.240408426,0.837432575,-0.289689206,0.947221358,0.004312476,0.999138828,0.935290157,0.807114347,0.336061639,0.616775065,0.208329334,0.769195658,0.674874871,0.317630991,0.788846816,0.782900422,0.776672165,1
pvalue4,hsa.let.7g,-0.973560784,0.036397802,0.46694093,0.645394762,-0.344887984,0.652301234,-0.458337946,0.444942148,-0.804944686,0.858341206,1.043855645,0.468528307,1.614917279,0.157729086,-0.008837251,0.988856565,0.063558682,0.924635274,0.35542923,0.604196801,0.953462205,0.949929876,0.949271504,1
pvalue5,hsa.let.7i,-0.853485229,0.177842349,-0.721391981,0.526209157,1.037707134,0.521673184,-0.392994602,0.681248437,-0.451435511,0.561379145,-0.167216694,0.905989733,0.679311635,0.541838991,-0.842316336,0.314236232,0.621885122,0.290119771,-0.003902235,0.99536403,0.251825042,0.29488331,0.250550166,1
pvalue6,hsa.mir.1.2,-0.605973033,0.344576498,-0.155331624,0.897084005,-1.014330763,0.286654436,0.149600544,0.891318026,-0.817826906,0.412607971,-1.103922871,0.841287903,-1.011099859,0.882386935,-0.517185266,0.393294894,-1.377547558,0.091784126,-0.364989581,0.547265071,0.324443015,0.400508264,0.355539795,1
pvalue7,hsa.mir.100,-0.826587664,0.124379691,-0.086846283,0.94106297,1.491949885,0.369791768,-1.408822175,0.186163419,-0.221129862,0.791715317,-0.663976619,0.58867626,0.968052663,0.314204618,-0.186744498,0.773836866,0.501805266,0.390999289,-0.839217655,0.304862221,0.352988254,0.388502493,0.350518277,1
pvalue8,hsa.mir.101.2,-1.066510248,0.180834212,-0.49909666,0.675000561,1.345215547,0.20135496,-0.083589819,0.932799587,0.719361348,0.931193449,-0.045909297,0.996644119,1.548681351,0.883372614,-0.119287268,0.875955936,0.818682529,0.207946221,0.575676714,0.393365065,0.449466318,0.457398673,0.434374408,1
pvalue9,hsa.mir.103a.2,-1.252843705,0.020436,0.162244658,0.902968558,0.893502367,0.36379226,0.665964336,0.485725695,0.125127473,0.982531025,0.160549149,0.982437668,0.496937449,0.927949516,0.173232309,0.821908379,0.79288825,0.219831017,0.792374664,0.243763585,0.504707192,0.522446339,0.502797331,1
