,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,1.27628246,0.860638205,-0.522745769,0.953274472,-0.301808079,0.977456705,1.465662672,0.893904283,0.400001159,0.617808252,-0.292406557,0.903563145,0.481572382,0.523397637,0.095684972,0.871203156,-0.216930464,0.714009742,0.729315127,0.153444813,0.350940005,0.322722843,0.300546627,1
pvalue1,hsa.let.7b,6.549633942,0.270586005,-5.645551661,0.504290678,-5.364000568,0.576472529,-4.693731065,0.656802724,0.613827188,0.657015462,0.369673324,0.620652433,0.939501594,0.260042463,0.011072265,0.984547775,-0.095525813,0.871530706,0.574965473,0.270105609,0.612976645,0.583440925,0.571356164,1
pvalue2,hsa.let.7c,4.313031346,0.548690011,-1.158122734,0.89393135,-3.164516013,0.749036265,-2.622486186,0.815273598,-0.920796309,0.282598024,-0.544979965,0.856703298,0.368397153,0.615434944,-0.910287651,0.115630372,-0.767669863,0.190610796,-0.037551558,0.9414095,0.238848901,0.2561722,0.234179888,1
pvalue3,hsa.let.7d,5.889744099,0.261658224,-5.769608629,0.375455824,13.17510456,0.069784889,-3.050273478,0.764207549,0.663308778,0.868855681,-0.066412755,0.928329582,0.443818364,0.525957109,-0.599087557,0.329632291,0.044616773,0.93707719,0.337205761,0.517638409,0.439255514,0.471949029,0.454247503,1
pvalue4,hsa.let.7e,3.583787399,0.508065075,-2.085556762,0.831959342,-1.117663413,0.900238449,-2.576881916,0.758375509,0.297103847,0.690122819,0.242643124,0.80307,0.336101667,0.66831194,0.027319871,0.961615502,0.15734732,0.778381468,-0.16359284,0.778647502,0.953178837,0.9538581,0.953511857,1
pvalue5,hsa.let.7i,3.991147943,0.493357739,-2.803372934,0.755091192,-2.971647647,0.727882728,2.683444676,0.755681171,0.845736013,0.359216575,0.022759774,0.991806447,0.863283329,0.202399177,0.230394088,0.68372797,-0.292699274,0.624035284,0.807273787,0.136947424,0.294156063,0.284309274,0.259236723,1
pvalue6,hsa.mir.100,15.62622142,0.013802259,-13.34768053,0.118352874,-14.38413064,0.127002125,-15.15843084,0.057710913,-0.180140165,0.838495562,-0.408098407,0.660728572,0.754821548,0.1693954,-0.245178956,0.655667525,-0.601441728,0.286348544,-0.380863787,0.489470291,0.750505473,0.752755371,0.747633291,1
pvalue7,hsa.mir.101.2,0.633852744,0.865755885,8.15607328,0.367856579,17.05894051,0.04690258,0.222281541,0.973887565,-0.119865803,0.88397992,-0.844812159,0.204949285,-0.897272689,0.671760715,0.798643898,0.148546827,0.123228739,0.833021059,-0.319868784,0.583630015,0.258277758,0.234621172,0.208274594,1
pvalue8,hsa.mir.103a.1,0.932133378,0.869919429,17.23808756,0.020511195,-0.059090666,0.99372236,0.455935956,0.948332803,-0.264949508,0.69439758,0.109676928,0.958850811,-0.292703838,0.699604399,0.466640105,0.390015367,0.045197071,0.937817315,-0.028449298,0.960966808,0.774343727,0.757373546,0.752378641,1
pvalue9,hsa.mir.106a,10.37077259,0.191597727,-3.440393709,0.710166514,-9.231407919,0.374528264,-8.975345962,0.337096296,-0.354780444,0.878749911,0.823359735,0.329691958,0.524691642,0.520937536,-0.466859495,0.427459806,-0.020050179,0.970248751,-0.036687997,0.945717001,0.831554071,0.84848126,0.84526145,1
pvalue10,hsa.mir.107,0.449151703,0.844519326,5.298959673,0.527301336,2.381699285,0.752564809,0.742494272,0.923551215,-0.385067043,0.883130944,-0.102512672,0.899692451,-0.710434468,0.527571063,0.54180601,0.360190969,0.668336573,0.248405629,-0.086745687,0.887157449,0.444895926,0.455442358,0.43921785,1
pvalue11,hsa.mir.10a,0.049796111,0.970959238,0.820614618,0.887962407,17.98521908,0.020501403,8.172223239,0.166039707,-0.174307988,0.876243269,-0.761448138,0.432011498,-0.926335608,0.328633795,0.269018533,0.663876411,0.576438051,0.3169127,0.311698799,0.595695084,0.790169117,0.792011238,0.787871216,1
pvalue12,hsa.mir.10b,1.323091909,0.82920542,16.52900551,0.078863335,-0.333406676,0.968108382,-0.692868812,0.922385504,-1.029907389,0.635256071,-0.477956685,0.628476035,0.129949902,0.903416961,-0.324583027,0.550563185,-0.448709235,0.407427691,-0.208711265,0.702454271,0.861310139,0.859126102,0.85710935,1
pvalue13,hsa.mir.1180,0.764991142,0.856952712,0.630182585,0.944338931,0.673910617,0.927535266,0.664766349,0.939137851,-0.070177928,0.939077156,-0.357640327,0.743473411,-1.066326328,0.285062593,0.1530205,0.78522719,0.056288303,0.922553523,-0.378299853,0.504448403,0.767449538,0.779804919,0.77553037,1
pvalue14,hsa.mir.1224,3.250306339,0.560719045,-2.461099354,0.745103437,-1.740637887,0.851692931,-1.445488118,0.888020943,1.360642855,0.158663643,1.598362765,0.074771874,0.683601241,0.773562371,0.53694512,0.392622636,0.92394416,0.146855402,0.573416191,0.354493635,0.523415211,0.54975299,0.533134589,1
pvalue15,hsa.mir.1226,5.737160019,0.256062659,-4.738067046,0.522087437,8.202950177,0.388600459,-4.604852667,0.589712562,1.553462801,0.713702056,0.181555064,0.952327095,0.66739378,0.771687562,0.586710597,0.324358402,0.353561714,0.551152113,0.219928355,0.711421993,0.788414823,0.787575704,0.783428035,1
pvalue16,hsa.mir.1228,6.454901156,0.294783871,-5.108801589,0.620454077,-5.198004484,0.561420973,-5.241323266,0.583442646,1.614616922,0.459914181,1.230230409,0.572048269,-0.344125146,0.931227327,0.769436367,0.184362517,0.521904888,0.37786096,-0.168472963,0.787169774,0.292179353,0.293985752,0.272549154,1
pvalue17,hsa.mir.1229,0.577248011,0.893444576,0.389911152,0.961797073,0.520197386,0.922159254,3.752906006,0.633748779,-1.842071374,0.735082269,0.488788907,0.441184808,-0.932225468,0.341762352,-0.768266137,0.253292623,0.614166042,0.29272858,0.311056168,0.585879317,0.117263685,0.168733155,0.135615795,1
pvalue18,hsa.mir.1245a,2.455922254,0.658675204,-1.115918938,0.881446993,-0.747735509,0.939849212,-1.474250886,0.840375757,0.339942992,0.692436494,0.067592684,0.974874078,1.454264717,0.034000106,0.071637041,0.901382057,0.102101195,0.85757846,0.460009727,0.416096423,0.85402404,0.843323091,0.840766176,1
pvalue19,hsa.mir.1247,2.259930671,0.675236336,-1.289123995,0.850107858,-0.970410997,0.911446031,-0.678831827,0.942905897,1.170606888,0.214922233,0.676000828,0.529813917,-0.143818813,0.854662091,0.342754103,0.542586768,0.322981782,0.577329232,-0.138344888,0.806076952,0.768502814,0.76942482,0.765345566,1
pvalue20,hsa.mir.1248,9.199182269,0.197502158,-8.668717305,0.307110272,-8.851417891,0.238175297,8.780966689,0.416297237,0.272701833,0.736693391,0.527627151,0.624089956,-0.200549491,0.817743296,-0.537206255,0.363242017,-0.502397378,0.39591539,-0.048947236,0.924022606,0.674888,0.684576869,0.67764963,1
pvalue21,hsa.mir.1249,6.672077047,0.369518762,-7.077542156,0.364249592,2.625675514,0.795359439,-6.482422895,0.377154773,3.728285847,0.693057416,-0.155255433,0.774261943,-0.949220949,0.835478124,-0.595479012,0.455985883,-0.132704826,0.775011028,-1.71769928,0.019245821,0.037589496,0.096787299,0.064951236,1
pvalue22,hsa.mir.1251,17.79078288,0.009150104,-16.87282121,0.088301419,-16.2308033,0.132269071,-17.44222189,0.029565956,-0.524813948,0.821933204,-0.129148933,0.955551257,0.402871468,0.86059968,-0.88331352,0.134388477,-0.477286693,0.363721209,-0.66110077,0.224458634,0.458554883,0.442497517,0.424207866,1
pvalue23,hsa.mir.1254.1,3.329291649,0.481528861,2.323673376,0.809215165,-3.049891487,0.535663734,11.63876579,0.211260182,1.222615734,0.037224558,2.290848941,0.817785259,0.469392765,0.633966429,1.256680974,0.060840405,0.70532687,0.329316327,0.681683913,0.321768266,0.246375906,0.275163885,0.24272778,1
pvalue24,hsa.mir.1254.2,0.205223736,0.974352349,6.501760284,0.501175849,0.505515163,0.950230739,13.9255812,0.173682612,-0.705007281,0.276770282,-0.185778064,0.768908776,-1.02917206,0.354315127,0.547719022,0.485018453,0.273516584,0.744690373,0.435659008,0.58548411,0.883923027,0.894417445,0.892537176,1
pvalue25,hsa.mir.125a,1.49631187,0.851561629,16.55726488,0.169296702,-1.5918643,0.854988626,-0.667730504,0.944634714,-0.853262195,0.30333856,0.203398126,0.75840081,0.259113964,0.709801649,-0.067800718,0.896924025,-0.67383062,0.282867965,-0.083418616,0.877271119,0.677558699,0.721230447,0.711011731,1
pvalue26,hsa.mir.125b.2,18.13307856,8.79E-05,-18.1908,0.000340039,-17.24226749,0.010762571,-16.61923953,0.051542189,0.200772583,0.770907756,0.029278812,0.979039582,-0.660458532,0.203435627,-1.125763427,0.066205618,-0.576829225,0.291751982,-0.82814871,0.117925423,0.24632014,0.240160445,0.213635665,1
