,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,0.176639024,0.944449945,-0.452307705,0.866176314,7.039825161,0.303650935,1.001622453,0.867133643,0.11762686,0.901303052,-1.247952968,0.591773967,-0.594874158,0.815060836,-0.218316598,0.735730328,-0.076567091,0.899524853,0.101728267,0.860304997,0.966507816,0.967210341,0.966965802,1
pvalue1,hsa.let.7b,0.404672366,0.896050229,2.033580949,0.71558862,0.279700723,0.94457687,0.982408319,0.900599757,-0.715816765,0.865375512,-0.563413262,0.901538142,-0.727549616,0.873284008,-0.015480924,0.980508119,-0.328884402,0.605361959,-0.195357666,0.748580102,0.946668503,0.947451571,0.946991335,1
pvalue2,hsa.let.7c,-0.851904262,0.319917323,1.222978441,0.551296839,9.474291303,0.163597966,1.864397449,0.737398999,-1.189285986,0.3311156,-1.799029849,0.534711586,-0.998622322,0.761809122,0.150461608,0.844734775,0.340112529,0.6318556,0.551109838,0.419732754,0.839328805,0.843090415,0.840103725,1
pvalue3,hsa.let.7d,-0.413254407,0.7386333,7.865990688,0.129855569,3.529285647,0.644166308,1.194041643,0.802608431,-1.609243685,0.819099578,-0.476551253,0.944464306,-0.099462383,0.985768871,0.04301433,0.949274086,0.91267222,0.147307455,0.571365006,0.385494504,0.373980596,0.367998026,0.344862075,1
pvalue4,hsa.let.7e,4.956117455,0.466175296,-4.748563632,0.511934152,-2.817003903,0.737953804,-3.848802087,0.695355333,0.523859649,0.543658045,-0.541373854,0.595860842,-0.004483838,0.996190938,-0.438845451,0.455978675,-0.631681461,0.31563751,-0.411443418,0.484492421,0.76233329,0.752798838,0.746483444,1
pvalue5,hsa.let.7f.2,0.081639646,0.952871856,-0.529944861,0.787383396,5.32468778,0.425507402,1.505906301,0.835115577,-0.152219437,0.886264393,-1.005187338,0.661642148,-0.841043595,0.717095206,-0.396737032,0.540404631,0.262288597,0.650541409,0.145742686,0.810215679,0.754635884,0.772736278,0.76604937,1
pvalue6,hsa.let.7g,1.047071211,0.735989648,2.390119614,0.770752924,4.361713368,0.497144902,0.083271217,0.99134256,0.735654933,0.759950309,-0.622198439,0.889594605,1.242059378,0.624682472,1.037449318,0.092482157,-0.005569804,0.993769981,0.911622439,0.172301605,0.168967104,0.18464401,0.158087859,1
pvalue7,hsa.let.7i,0.029541369,0.979050757,0.598521851,0.803382679,7.891321012,0.252943435,1.159304323,0.805262054,-0.454422734,0.904041676,-0.293180944,0.71085856,0.089989324,0.901238952,-0.059192648,0.942392887,0.723723167,0.300324236,0.549566709,0.414741909,0.561100563,0.586790992,0.572091006,1
pvalue8,hsa.mir.100,-0.99258299,0.222242822,1.917743747,0.50024444,5.609065105,0.27452518,2.214729036,0.696057993,-0.216368683,0.813994259,-0.485381572,0.504847582,-0.882032836,0.326777166,1.031202327,0.200702898,1.251455878,0.127633363,0.638455987,0.440592658,0.360489309,0.42327142,0.388782775,1
pvalue9,hsa.mir.101.2,3.05415439,0.639053541,-3.756393329,0.568978738,4.066609134,0.625991469,-2.395176472,0.774995793,0.574208375,0.605300401,-1.189109817,0.67412416,0.141765923,0.856676178,-1.113901272,0.096505514,-0.909103451,0.09188475,-0.618934288,0.32093095,0.244892264,0.23194597,0.20364076,1
