,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,1.252723376,0.446926942,-0.9903367,0.610277873,-3.457519031,0.062991184,-2.264783085,0.234117891,0.476278037,0.557905999,1.687000765,0.095182056,0.452693526,0.689216122,-0.078557332,0.869250629,-1.234580342,0.117829007,-0.956353948,0.113117403,0.144455873,0.19742311,0.164091164,1
pvalue1,hsa.let.7b,1.007324033,0.358975327,-2.511370552,0.102846543,0.753948144,0.73469419,-1.939939161,0.107565312,-0.432624868,0.745556586,-0.984684976,0.724748591,-0.291773396,0.750302945,-1.907716762,0.012880055,-0.650542472,0.200008657,-1.344875763,0.020386852,0.011429161,0.020828118,0.008768367,1
pvalue2,hsa.let.7c,0.268487181,0.766795349,1.682082652,0.458036337,-0.766511662,0.575927446,-0.61004107,0.642528157,-1.45036357,0.228305469,-0.317117336,0.723851365,-0.95178782,0.766439299,-0.513152181,0.334386207,-0.626410545,0.269145722,-1.010591167,0.095938691,0.369409583,0.369950908,0.347393101,1
pvalue3,hsa.let.7d,1.174713403,0.445394618,-1.33764632,0.470152902,-1.776885761,0.358048919,-1.90514357,0.328201197,0.979916662,0.684609529,1.414607813,0.55933545,0.405320938,0.87381307,0.080648261,0.886490598,0.000865579,0.998714878,-0.734687559,0.24383057,0.519628701,0.584898086,0.565302848,1
pvalue4,hsa.let.7e,0.590976146,0.614623934,0.415507112,0.778739908,-2.993786983,0.043420432,-1.745958974,0.309511261,0.414921194,0.898204795,3.764454275,0.633592911,0.562610467,0.948659332,0.465609759,0.341075758,-0.652058954,0.344899945,-0.754417532,0.26821123,0.141593368,0.163668653,0.133874927,1
pvalue5,hsa.let.7f.2,1.160095381,0.422242733,-1.036378316,0.513747544,-4.577666841,0.00195655,-2.07402036,0.227363426,0.954391148,0.251196815,3.001664702,0.001317388,0.887856386,0.582083281,0.200055502,0.668884159,-1.87926578,0.077633596,-0.535598455,0.384240475,0.055908196,0.175707427,0.100101415,1
pvalue6,hsa.let.7g,1.312736953,0.228816122,-0.341099332,0.790149731,-2.652165792,0.043045492,-2.772093568,0.022623711,-0.273895383,0.640969461,1.570084474,0.045166103,0.578812561,0.886763145,-0.376942521,0.493052822,-0.624030051,0.250207491,-1.275775548,0.05089446,0.185972271,0.235793008,0.200344801,1
pvalue7,hsa.let.7i,1.048880523,0.399076337,-2.724545768,0.088429612,-0.995993901,0.494219173,-1.878935872,0.306437896,-0.079652713,0.91494591,-0.152141723,0.839518761,-0.388280996,0.827543171,-1.820339809,0.018196553,-0.595687215,0.215887179,-1.331411611,0.041891906,0.022938336,0.04035807,0.021052701,1
pvalue8,hsa.mir.1.1,0.477310562,0.816478285,0.511806011,0.835066776,0.172483378,0.935340495,-3.520522476,0.099367488,0.778055011,0.851076624,0.725649515,0.862719149,1.688165787,0.689716036,0.720798311,0.218282967,0.580718998,0.365182805,-1.734117801,0.122031371,0.008453205,0.088849107,0.024829527,1
pvalue9,hsa.mir.1.2,0.749819079,0.705447693,-0.878774076,0.68982599,-1.478658248,0.537716597,-2.923397829,0.180715298,1.278896185,0.813535688,0.916871154,0.815914275,1.388772943,0.789366065,0.395530292,0.439378876,-0.241046732,0.709758965,-1.279105635,0.114306439,0.081800366,0.161074243,0.111399383,1
