,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,2.472798598,0.513153094,-1.378223424,0.753171106,-0.444435409,0.945418569,2.402056291,0.644630246,0.238125948,0.92353861,0.471274633,0.853436595,-0.660629905,0.850214182,-0.051153163,0.939727758,0.389121294,0.556067154,-0.572711141,0.456388829,0.580432504,0.601945687,0.583196234,1
pvalue1,hsa.let.7b,1.774403354,0.613367786,0.418513807,0.945904352,-0.410430515,0.935193678,3.626593389,0.585077494,0.60370841,0.867810245,-0.17324565,0.945146839,0.27299104,0.937726812,0.62919615,0.36289345,-0.246010179,0.764444476,0.439809948,0.54767671,0.546288633,0.571677281,0.552915474,1
pvalue2,hsa.let.7c,2.159363849,0.43753088,-0.012523286,0.997768064,-1.497982798,0.68016826,3.264314128,0.580853144,-0.122990226,0.97682119,0.752856355,0.830617668,0.219798074,0.950094282,-0.118655074,0.877431813,0.268379803,0.678024493,0.337443275,0.615459618,0.903432693,0.90646581,0.905019382,1
pvalue3,hsa.let.7d,2.868995848,0.638635519,-4.145742714,0.497865866,-1.301422904,0.900317793,2.069643907,0.727892471,4.60014908,0.636519276,1.310277577,0.269167558,-1.221769728,0.884412276,-0.645266257,0.37804461,0.692044575,0.230835307,-1.164046153,0.165049171,0.044969391,0.060278133,0.033116973,1
pvalue4,hsa.let.7e,6.213090813,0.180465641,-5.802441617,0.296027646,-6.156920624,0.280315266,-6.496825311,0.169970141,2.952674037,0.734362786,2.584648485,0.770449882,3.839430471,0.656084732,1.291872656,0.114353754,0.944407958,0.259686098,1.338644769,0.114166239,0.28846587,0.395811593,0.345557664,1
pvalue5,hsa.let.7g,2.4424165,0.580766535,-1.247717082,0.793902219,-0.642064573,0.921177414,2.437560622,0.700944153,-0.746087675,0.769602145,-0.222639428,0.927447408,-1.126349896,0.767577075,-0.918856022,0.185353381,-0.30548451,0.603072999,-1.012281728,0.144398665,0.366478677,0.383458733,0.354934306,1
pvalue6,hsa.let.7i,0.933352879,0.580907696,2.228464447,0.640814859,-1.095553097,0.652307126,5.694684367,0.182510833,0.20611973,0.970918965,1.013855872,0.812638959,-0.459423005,0.933683976,0.568601044,0.397907622,0.179538084,0.789264501,-0.044541736,0.94987796,0.799522967,0.785429651,0.779422136,1
pvalue7,hsa.mir.101.2,2.200039859,0.499677907,-0.661660739,0.914893012,-1.067160861,0.850973848,1.369522119,0.764364231,1.448668708,0.844799039,1.406761874,0.780732171,-1.569787019,0.840836414,1.138054477,0.096911908,1.001089615,0.170222048,-1.474729366,0.203395782,0.005835088,0.046307831,0.009924564,1
pvalue8,hsa.mir.103a.2,-1.350854139,0.135085509,10.43397671,0.12366162,2.088387864,0.441649485,5.761550481,0.16435407,-1.253239132,0.844806565,-1.654534346,0.753015216,-2.580278774,0.702223619,1.185794145,0.131254869,0.2853888,0.743046428,-0.14301786,0.876191467,0.126365383,0.121682453,0.090179185,1
pvalue9,hsa.mir.106b,1.741867069,0.635170705,-2.612575288,0.489662202,8.29932385,0.196081068,0.577951788,0.904583354,2.83864459,0.714797453,0.532872254,0.952823948,0.806345351,0.927707534,0.147457985,0.847056143,0.632675013,0.389350902,0.739127303,0.306618881,0.655933611,0.669690744,0.658812459,1
pvalue10,hsa.mir.107,1.77793977,0.652706492,-0.027458203,0.995856295,0.097802684,0.980930342,3.222614442,0.496657857,-0.152515395,0.981028691,-0.25205118,0.969138391,-0.957898767,0.88959263,-0.148393017,0.815966115,-0.220646437,0.728641125,-0.7531052,0.306344228,0.74697848,0.776042521,0.767273146,1
pvalue11,hsa.mir.10a,3.166759668,0.434807805,-2.681259938,0.559665585,-3.295434404,0.52167047,2.146507238,0.658123012,0.919912864,0.787901828,1.279618048,0.774191806,-1.011151752,0.789501285,0.15536186,0.813577164,-0.094046604,0.876663026,-0.97972771,0.169288516,0.391640167,0.472054833,0.43751545,1
pvalue12,hsa.mir.10b,2.516638529,0.461685692,16.56270126,0.01325086,-3.393901295,0.365988055,-1.257308724,0.740490878,1.325046042,0.85655268,1.069313551,0.892238025,-0.305272999,0.953547781,1.389068124,0.037948762,-0.56021624,0.494701005,-0.491360016,0.550145434,0.005418401,0.003436401,0.000585977,1
pvalue13,hsa.mir.1180,5.033056262,0.298358042,-3.222752135,0.521347421,-2.759501769,0.685440896,-4.891851423,0.32506374,0.445183689,0.92823329,1.542936859,0.779311148,1.973328946,0.715631527,0.293536226,0.735200779,1.390167215,0.092350907,1.003219277,0.243644234,0.201010696,0.232584956,0.192366091,1
pvalue14,hsa.mir.1226,2.445436023,0.579994136,-3.530679171,0.522503568,-1.566164988,0.763728481,5.310108992,0.437816453,1.489841018,0.617201457,0.811123327,0.784490925,0.049235431,0.987054224,-0.571722845,0.509300325,0.334237006,0.607137622,0.123699386,0.84859096,0.697896184,0.738418072,0.725114083,1
pvalue15,hsa.mir.1229,1.967632821,0.672686812,-1.544807326,0.767392385,3.568642273,0.665519039,-0.032515874,0.995285272,0.891505749,0.906452688,0.903952176,0.896954277,0.568446168,0.931296184,0.381456059,0.677185656,1.030217994,0.19387959,0.538974766,0.522097653,0.50517713,0.520348601,0.497463099,1
pvalue16,hsa.mir.1245a,5.262872092,0.451780301,-4.194272338,0.591518217,-1.249827612,0.876728912,-4.897207741,0.504228108,-1.113437522,0.784384024,-0.044877335,0.994532748,0.619150362,0.911502495,-1.384041427,0.098734018,-0.060359065,0.921029475,-0.175409729,0.781874794,0.239129778,0.376824233,0.31403801,1
pvalue17,hsa.mir.1247,1.786023875,0.377414382,2.225597681,0.702375387,-1.85717695,0.466952386,2.874208427,0.502641423,0.161836109,0.887151212,0.910918931,0.419375575,-0.322885901,0.82005279,0.326955922,0.612979326,0.056202946,0.93713798,-0.145054621,0.837647881,0.900361011,0.89785166,0.896123525,1
pvalue18,hsa.mir.1248,7.546011962,0.166443642,-7.652562771,0.182706385,-8.517532397,0.118583076,-4.167353902,0.54591414,2.261474695,0.811380795,2.652814896,0.769925391,0.937039348,0.878519133,0.55450017,0.409974651,0.019126813,0.980158303,0.678235463,0.303820451,0.645409387,0.654966199,0.643537089,1
pvalue19,hsa.mir.1249,7.853800767,0.197753715,-7.355518788,0.282466086,-6.268920431,0.394092916,-2.883460222,0.724116711,-0.582636391,0.828866874,-0.316084834,0.903023338,-0.525097438,0.84879357,-1.130570919,0.125943792,-0.546829178,0.39649481,-0.525925373,0.411559216,0.483154067,0.496739986,0.470271307,1
pvalue20,hsa.mir.125a,6.250379833,0.30780702,-4.635542325,0.456080794,-5.993157222,0.332850899,-3.210915231,0.666452429,0.494882435,0.887304142,0.770061343,0.830067766,0.858096355,0.810925801,0.251580495,0.725369853,0.000215491,0.999758936,0.766438806,0.247531016,0.606706301,0.583427478,0.566489509,1
pvalue21,hsa.mir.125b.2,3.369361658,0.418013543,-3.037809161,0.498814178,3.053450483,0.617988406,-2.277979747,0.600767505,0.206084572,0.938985665,-0.060706946,0.980952176,0.058861778,0.980653456,-0.404093202,0.575158518,-0.023409453,0.969328195,-0.259244296,0.690151823,0.93002017,0.932748705,0.931876125,1
pvalue22,hsa.mir.126,2.439531337,0.449586257,-0.420155385,0.945319953,-3.090462878,0.393006887,2.634463336,0.617603753,1.112291751,0.861595421,2.384313934,0.616157927,-0.196273351,0.965281812,0.919461086,0.156978921,0.325676212,0.650480869,-0.161663326,0.833239555,0.359654347,0.347390632,0.316649324,1
pvalue23,hsa.mir.1262,1.042807751,0.744257449,-1.165856645,0.728435352,5.622781546,0.356581729,2.938323105,0.608437387,1.687399562,0.762549517,-0.251425192,0.916414414,-1.493783172,0.818703032,0.233241976,0.710498924,0.16134543,0.810563966,-0.996824699,0.25038647,0.355804364,0.47809615,0.429329247,1
pvalue24,hsa.mir.1266,3.585917403,0.517473982,-1.172259009,0.875338664,0.895902095,0.906310756,-1.858804177,0.751023085,-0.069208111,0.983749127,-0.382033834,0.883930176,0.001341556,0.999569396,-0.136172032,0.852683255,-0.362304348,0.638803955,-0.167216199,0.815713548,0.971265149,0.971789852,0.971559967,1
pvalue25,hsa.mir.1269a,-0.759638353,0.59702029,0.177525345,0.916848875,1.59278969,0.581045173,9.228648058,0.156649512,1.042378804,0.876051979,-0.509235382,0.938793933,-1.714587313,0.822292044,0.44626281,0.607758634,0.727319985,0.367529861,0.274671982,0.744272889,0.776643368,0.782229441,0.775811883,1
pvalue26,hsa.mir.1270,0.679451026,0.817486607,2.730466692,0.568787396,6.016401623,0.372707211,-1.042540631,0.75161877,-0.816125888,0.861886094,-0.12859865,0.96401244,-0.028939647,0.976315648,-0.262066202,0.712344094,0.435350908,0.488799014,-0.598577963,0.434040342,0.443617858,0.449188749,0.423213342,1
pvalue27,hsa.mir.1271,0.963556302,0.73693828,0.71624406,0.860516019,-0.184917096,0.962867681,5.916928996,0.277920395,0.78825849,0.927250433,1.25102314,0.884977073,0.586466072,0.947295942,0.88983808,0.277089568,1.015069202,0.227803896,0.91427951,0.27681084,0.574770177,0.661859564,0.63604007,1
pvalue28,hsa.mir.128.1,3.275791958,0.302311428,3.351422352,0.61199487,-2.048302063,0.544760859,-4.031424955,0.240275229,-0.219966626,0.956917131,-0.126136381,0.983687301,2.583454855,0.573859763,-0.168709099,0.789835923,-0.351709493,0.602638479,-0.100998958,0.881699724,0.962062435,0.963046534,0.962704458,1
pvalue29,hsa.mir.1287,2.351015159,0.610224687,-1.709296301,0.79467643,2.952018682,0.676237133,-1.158255751,0.815180252,1.75623137,0.105268961,-0.371892237,0.886081489,0.24554231,0.864963678,0.863964053,0.162699949,-0.251706143,0.732652145,-0.014859531,0.982419078,0.372787974,0.327502878,0.295954881,1
pvalue30,hsa.mir.1288,5.353976407,0.354908989,-6.321142871,0.301096374,-3.871085026,0.544622213,2.010011359,0.785160226,0.036331129,0.966095514,-0.234896405,0.931305551,-0.050534073,0.983600236,-1.536405429,0.060851002,-0.482977725,0.430423586,-0.051526766,0.932419434,0.161282434,0.26267023,0.203939282,1
pvalue31,hsa.mir.129.2,5.533856012,0.296626237,4.939557747,0.569441455,-6.18494726,0.254069559,-4.729625752,0.366048981,1.275400292,0.665674432,3.222486501,0.41491774,0.137502007,0.961831597,1.178465156,0.08572816,0.507970405,0.50846952,-0.275727083,0.73641265,0.11247648,0.115158116,0.08323245,1
pvalue32,hsa.mir.1291,4.404981061,0.363492898,1.213737918,0.859414289,-3.073305531,0.572478371,-5.044802893,0.32045728,0.068813276,0.985255129,-0.534756557,0.831781668,1.609066508,0.619545671,0.064601782,0.91530558,-0.782148321,0.33894561,-0.296940674,0.625621423,0.702780845,0.738168667,0.726268416,1
pvalue33,hsa.mir.1292,-1.132737749,0.123748506,11.83525769,0.110953537,13.47142006,0.050935123,0.287709961,0.776003194,-2.465854493,0.741337602,-2.298730635,0.723858315,-0.462619321,0.910289834,0.683096865,0.434463217,0.857698808,0.300397913,0.194468056,0.813866993,0.583913393,0.586843588,0.571505875,1
pvalue34,hsa.mir.1296,4.136013944,0.418816255,-5.343940805,0.312552191,2.937813545,0.679726894,-3.228995584,0.569372972,1.220215271,0.716758625,0.248911944,0.830723452,0.107262341,0.973246473,-0.910209495,0.277645321,0.264470514,0.65239014,-0.290653821,0.667228487,0.436985459,0.497350378,0.465573405,1
pvalue35,hsa.mir.1301,3.759795885,0.442772086,2.957546276,0.691786956,-3.466274341,0.509318648,-5.201296384,0.297679267,-0.055156463,0.991243514,1.161149838,0.814895975,1.571618859,0.745361575,-0.039082569,0.950874361,0.203234578,0.739680305,-0.908285692,0.279325836,0.511820291,0.600405608,0.569130593,1
pvalue36,hsa.mir.1304,10.14794656,0.156894228,-9.749419718,0.17991667,-10.68188377,0.155334621,-9.966243804,0.215692146,20.09645852,0,20.32491235,0,19.77029913,0,1.616904262,0.132692452,1.199601485,0.295968248,1.310292965,0.240263589,0.345618916,0.483098848,0.421170992,1
pvalue37,hsa.mir.1306,2.941733582,0.416407004,1.588333876,0.769192446,-2.424397797,0.520168478,-0.774213002,0.88859143,-0.650618009,0.897155239,1.288265834,0.167149626,0.484251296,0.686057547,-0.579012905,0.449287959,0.550444419,0.407328575,0.387620586,0.574527195,0.39281277,0.447578347,0.41661206,1
pvalue38,hsa.mir.1307,2.829764224,0.450728585,-3.636638605,0.392954743,2.393496338,0.69277688,0.29018296,0.948888997,1.996582677,0.657714419,-0.268329534,0.95588185,0.316820698,0.945310392,-0.091672643,0.904566072,-0.187239971,0.791640664,0.316068042,0.618242102,0.863093289,0.860762497,0.858000186,1
pvalue39,hsa.mir.130a,2.386267402,0.338750037,-2.175896858,0.541858185,0.017294397,0.997679881,1.316934274,0.752337684,0.574130301,0.935420756,0.626257641,0.584035398,-1.693371241,0.837430742,-0.11488185,0.875491857,0.58463498,0.298392323,-1.604214473,0.144099921,0.064695294,0.168781324,0.092963465,1
pvalue40,hsa.mir.130b,9.064213717,0.180269825,-8.743646876,0.214257699,-8.747683965,0.190558982,-8.892029456,0.23853943,1.237706817,0.790386929,-0.360416687,0.92117905,2.118506677,0.690758745,0.156454843,0.79703546,-1.013416405,0.230036333,0.580539802,0.371873623,0.221394314,0.30444546,0.250052922,1
pvalue41,hsa.mir.132,0.139754935,0.940580745,9.994810677,0.163244719,-0.589882691,0.775273006,-0.64045576,0.756358185,-1.321290117,0.8445207,0.688629301,0.826446451,1.183101437,0.702934814,-0.209451043,0.755912313,-0.185151975,0.783020234,-0.005332158,0.993335348,0.982572007,0.982732367,0.982655187,1
pvalue42,hsa.mir.133a.1,9.115933337,0.060697138,-7.040404274,0.210408673,-8.384397137,0.165807678,-7.512502179,0.059550312,18.06362782,0,18.6504525,0,18.18295167,0,18.10795441,0.997846966,18.24040375,0.997831218,18.12951671,0.997844402,0.346657868,0.995951016,0.621230232,1
pvalue43,hsa.mir.134,2.214941205,0.555123454,0.741723831,0.913828534,2.229646546,0.723911345,-1.980521915,0.655429983,0.169593472,0.96058779,-0.310191483,0.965129308,1.602927824,0.595210599,0.236522805,0.725358011,-0.173729309,0.821038122,0.603102219,0.35172902,0.684851451,0.679387842,0.668414296,1
pvalue44,hsa.mir.1343,-1.487869665,0.034875977,6.704138112,0.180595106,7.88031967,0.214594114,3.469577208,0.243565901,-1.638400107,0.732397612,-1.306316145,0.18527486,-1.259873358,0.140733379,1.042114146,0.232660594,1.401871654,0.081706879,1.248376109,0.141751288,0.254800161,0.371529845,0.315603298,1
