,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7b,6.492158385,0.237374,-7.106224702,0.301665612,-6.575324673,0.278561912,-6.214451916,0.29001914,0.795576775,0.922775574,2.915638589,0.793597676,2.771052958,0.811541132,-0.50796148,0.580543591,0.662321591,0.372061382,1.00652152,0.198040941,0.252981317,0.289410088,0.243418823,1
pvalue1,hsa.let.7c,-2.402120305,0.000280461,3.066264113,0.415805688,1.969731818,0.202165405,2.808102751,0.240935131,-1.47389071,0.77360766,-1.903671993,0.825474684,-0.160797729,0.977199878,1.627792037,0.13500897,0.67744041,0.580998386,2.286790808,0.03788069,0.050562928,0.089544762,0.041277133,1
pvalue2,hsa.mir.100,0.304938336,0.922050281,0.149104221,0.972173955,-0.640548009,0.86424719,-0.41234149,0.888062321,1.321161092,0.918563518,1.97073456,0.875952502,4.21729423,0.731389101,0.800453377,0.357544508,0.519298729,0.56975181,1.727901469,0.044514939,0.181894819,0.171970233,0.125739923,1
pvalue3,hsa.mir.101.2,6.776404242,0.19279922,-5.264768699,0.413352571,-8.294952542,0.100973587,4.663971136,0.488439029,1.491132857,0.857671437,3.084568395,0.8283374,3.311766918,0.817646969,0.564293199,0.517515434,-0.895311189,0.343724705,2.475675272,0.004120571,0.002501326,0.004512219,0.000236342,1
pvalue4,hsa.mir.103a.2,5.63461521,0.347906647,-5.222232398,0.368041571,-8.066401406,0.164910775,-5.022081407,0.526116529,1.447268898,0.830053885,4.429285194,0.660623101,2.816433893,0.7562194,0.390721771,0.611531875,-1.101054679,0.349488703,1.295355356,0.075091424,0.062884011,0.096641997,0.050033365,1
pvalue5,hsa.mir.106a,-0.960717088,0.397002269,0.828560866,0.54320693,5.110531897,0.327403358,1.647594883,0.670182694,-1.6744501,0.86380936,-2.171569763,0.8246556,-1.923001505,0.826512322,-0.200182864,0.797208026,0.171507737,0.824184872,-0.019940571,0.980709556,0.969709265,0.969830116,0.96955781,1
pvalue6,hsa.mir.10a,0.472304788,0.826318484,5.62540982,0.354503612,-1.761237754,0.469664607,0.36199732,0.955929824,-0.457443331,0.926170642,1.562932848,0.710943669,0.831826711,0.806747238,0.326453332,0.671274052,-0.441381565,0.638906504,0.772292544,0.299386161,0.467936145,0.483776794,0.451020083,1
pvalue7,hsa.mir.10b,5.295259918,0.302886091,-5.585237695,0.393602648,-1.940755155,0.781569508,-5.816376232,0.302240639,1.604392734,0.828787922,2.173991149,0.693800362,2.670804632,0.635546768,0.111963998,0.891752866,1.48331894,0.058074498,0.280156908,0.737674019,0.224183565,0.202134396,0.148864652,1
pvalue8,hsa.mir.1245a,1.253796371,0.697394976,8.336333473,0.227115907,-1.361555524,0.688360871,-1.807384377,0.600904841,-0.218106897,0.98012075,2.240293716,0.66020692,2.07525248,0.687752807,0.694228157,0.425675882,0.890605969,0.313001129,0.488756127,0.5805107,0.753023446,0.773954958,0.763359647,1
pvalue9,hsa.mir.1247,5.260706917,0.297311767,-3.391491105,0.647032691,-5.514618172,0.29509903,-5.693739243,0.362537151,0.493175286,0.808677833,1.764350838,0.222526321,1.278172404,0.70713992,0.042312908,0.956235217,0.144920766,0.838488617,-0.280070439,0.719151128,0.955526419,0.957841426,0.957278167,1
pvalue10,hsa.mir.1248,0.379616426,0.943512555,0.130575781,0.981356922,-1.187933282,0.858535182,1.123576581,0.901666181,0.482919641,0.972773608,0.934260655,0.952467568,2.49730175,0.867923628,-0.103119232,0.918623776,-0.366219615,0.715011015,1.680543498,0.035092748,0.011529407,0.010084179,0.002051522,1
pvalue11,hsa.mir.1249,-1.84195801,0.00689974,19.83935031,1.19E-05,0.946927404,0.409947772,1.363921999,0.158482501,-1.809741886,0.776887458,-1.294188702,0.640709308,-0.150015774,0.976616677,1.582317159,0.144565496,0.188426991,0.870657376,0.972366051,0.388064954,0.160666739,0.174556814,0.128600511,1
pvalue12,hsa.mir.126,0.342747471,0.924236172,2.898907171,0.624930726,-2.425769247,0.521846605,0.689353753,0.929196118,0.781125598,0.946877412,2.367263361,0.824261084,2.794562053,0.791937391,0.831563709,0.342188716,-0.72148986,0.55589434,1.719760133,0.032378126,0.018367852,0.034694966,0.009407449,1
pvalue13,hsa.mir.1266,-0.178076345,0.925864021,8.177754045,0.188280404,-0.050845676,0.980716259,-0.374438252,0.924915935,-1.076048103,0.924709501,1.443285353,0.841038818,0.956978316,0.918900535,0.30630805,0.690681713,0.567407556,0.470042004,0.182533649,0.82643963,0.90493269,0.903443797,0.901499627,1
pvalue14,hsa.mir.1269a,-0.898407135,0.308270845,1.591712022,0.63387467,1.823368635,0.457381646,-0.188916978,0.840919192,-1.104489787,0.350187511,-0.389957497,0.731948983,0.277720171,0.97510843,0.375245461,0.667426167,0.918709633,0.262349714,0.03595351,0.971407834,0.570259802,0.565792635,0.543707055,1
pvalue15,hsa.mir.1271,0.144303003,0.95813852,-0.145935922,0.97863425,-0.81526521,0.865372363,0.663312842,0.889664061,-19.62045741,1.89E-108,0.547851409,0.942406982,0.125294855,0.985625456,-1.524281681,0.174338834,-0.221663822,0.772559365,0.441268824,0.497193499,0.175939326,0.307728401,0.22048459,1
pvalue16,hsa.mir.1296,7.887978571,0.203967261,-6.062576496,0.374661044,-7.91078405,0.217751563,-8.241783057,0.205401466,-0.745014711,0.951333801,1.513282054,0.748308064,2.286856805,0.182897475,-1.246413276,0.152209053,-0.193168406,0.80174389,-0.203366889,0.764077794,0.439652618,0.533565599,0.48925948,1
pvalue17,hsa.mir.1301,-2.485694965,0.000144281,2.890796815,0.507958544,3.00193781,0.546903868,2.074120168,0.008716526,-22.30750175,6.92E-68,-0.981215204,0.397410642,-0.236332429,0.789875149,0.980785416,0.399652514,1.940439051,0.07549949,1.613625316,0.152502268,0.154408157,0.242116875,0.172940404,1
pvalue18,hsa.mir.1304,1.852030853,0.780556608,-1.030059599,0.896533208,-2.734390232,0.761210317,-1.191473292,0.850420782,0.927273894,0.925460786,4.117121022,0.7391411,3.942676683,0.768715287,0.849150292,0.46338679,1.071587133,0.35544694,1.974493414,0.067576232,0.123311763,0.149785047,0.101008162,1
pvalue19,hsa.mir.1306,11.21926638,0.059269229,-13.07574506,0.038345798,-10.66183949,0.133122191,-11.78715606,0.056919768,2.477475157,0.742589519,3.110156616,0.73427309,3.135637164,0.718095899,-1.1527723,0.305153548,0.861321219,0.212087766,-0.010054592,0.988859406,0.192509067,0.238735793,0.173405584,1
pvalue20,hsa.mir.1307,6.065727153,0.260240985,-3.43638216,0.645094402,-6.656112218,0.236991724,-6.434773503,0.253567727,0.629278582,0.944895895,2.46855721,0.826438551,3.363348146,0.762327058,0.342087687,0.676701722,0.252128401,0.758674072,0.591954908,0.429526521,0.882570994,0.884609707,0.882063951,1
pvalue21,hsa.mir.130b,8.404508272,0.167190243,-10.00390345,0.091643473,-3.154083549,0.743364815,-8.827642211,0.170158228,3.863798538,0.688258469,2.122099325,0.807266201,3.148146487,0.728586204,-0.380994162,0.677028984,1.058922882,0.153392121,0.188563847,0.808700675,0.309895506,0.292618494,0.246063483,1
pvalue22,hsa.mir.135b,0.783773759,0.57363085,-0.016292496,0.994675557,-1.662531527,0.514721531,-0.789649474,0.610694088,0.715341294,0.929390271,1.588815693,0.814039041,1.478995926,0.837185865,0.774640507,0.360931946,0.313983652,0.754182992,0.751803356,0.378795041,0.754076484,0.778865368,0.768776558,1
pvalue23,hsa.mir.136,-2.251310357,0.007933028,2.273078837,0.221065191,2.420629424,0.330601763,2.971972732,0.457722528,-2.077114522,0.81343714,-1.219113126,0.881757596,-0.034122357,0.991112652,0.765002131,0.512721602,1.224122792,0.276371172,2.086434245,0.055531619,0.094523627,0.109257503,0.063989519,1
