"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.1",0.813205333577072,0.588538025113072,0.755396010823483,0.812158323809911,1.08056927264271,0.725247556651794,0.285948889616121,0.87190095886597,0.668898777647915,0.129712288946151,0.721564528136467,0.0886843555707879,0.279901360243639,0.445430491446065,0.683964120407789,0.0221571171675373,0.80924948390426,0.00500515907267541,0.278028594408565,0.363504227902413,0.0173646980657065,0.0203495845987615,0.0172437128667777,1
"pvalue1","hsa.let.7b",0.495983739716349,0.743911935399635,-0.102620789711184,0.948607221543553,6.17939056886907,0.378715303212976,1.82479209478205,0.741944077335841,0.916659871776992,0.0241608190634037,0.625746158743449,0.120669305302346,0.770255579113484,0.0365776121384493,0.385432739407853,0.243404027288901,1.18227288526771,9.90228959963694e-05,1.10109115590685,0.000336581263750003,4.84860558398705e-05,0.000110237070712316,4.92907090083548e-05,1
"pvalue2","hsa.let.7c",0.415388536615093,0.20120948775808,0.937138732160129,0.627028576111753,1.26785366986766,0.620230224194761,1.82740985218911,0.722692662045793,-0.13396406747405,0.77423981436707,0.39031409587597,0.356073467292734,-0.375552459177059,0.253840834400864,0.395771521222063,0.191677473266712,0.830947131392141,0.0046048710485731,0.404570260043113,0.171994908486977,0.0417892862688322,0.0416887024195987,0.0367353816226197,1
"pvalue3","hsa.let.7d",0.859841185431264,0.097748584124175,1.23599475566929,0.762654874543742,0.342180386451927,0.671389485314308,0.230458279569242,0.831783854920051,-0.166061800443948,0.62954090172274,-0.242918304861586,0.48556045525901,-0.530856528794175,0.166481305470701,0.305833975958381,0.26855781160984,0.0135772205453123,0.962205230476809,-0.170695182767632,0.564694509400507,0.401980148163354,0.390892761312434,0.385425523830136,1
"pvalue4","hsa.let.7f.2",1.04244229634186,0.662103664171192,2.30384766348204,0.691658763551492,0.450764196654202,0.866534033505573,-0.485907019246974,0.844163858682581,-0.163703443353307,0.680244526132438,-0.112589498751372,0.808876235236549,0.113202168572893,0.794381359259408,0.33422787424599,0.22567629513173,0.0561723709884699,0.839740761932939,-0.203291910167675,0.498560365902794,0.322197122462243,0.316197862537506,0.309690397345816,1
"pvalue5","hsa.let.7g",0.715431556240345,0.52566919239272,0.558054837204347,0.66470603887812,0.977292884372124,0.716471575785633,0.476077304424969,0.840873046806831,0.259243164788889,0.540463813432988,-0.151047389170268,0.603197745611906,0.0152720078684674,0.968409334160103,0.4184411276635,0.146058530807679,0.319588230323421,0.256160880975922,0.212757256480651,0.486364601647872,0.49878403426381,0.512241421751863,0.507976197102723,1
"pvalue6","hsa.let.7i",1.15244774413952,0.149368575299134,0.246796122468728,0.925568072850678,0.520510555310429,0.861421192986907,-0.40142223956614,0.667395360733514,-0.389780409199274,0.260498791938864,-0.128765285750422,0.721763305978087,-0.396710799336554,0.313623837413042,-0.142633704463664,0.608360009359657,0.115563311579235,0.671641525612661,-0.379317359650286,0.204233900415669,0.36277572790071,0.376709585417884,0.370767384654967,1
"pvalue7","hsa.mir.100",1.54572716358265,0.305427479005724,9.74681548793411,0.113155629811492,-0.630581290876787,0.751736202872744,-0.988362217584033,0.54164368825538,-0.628239250098876,0.0281631723159914,-0.533105560781495,0.191341131771262,-0.738713750063588,0.0703479848225172,-0.0945622879125123,0.715754646993536,-0.573872433749446,0.0456873876177636,-0.858255119841964,0.00378116233593919,0.00830231807354411,0.0107448330767307,0.00861085227656228,1
"pvalue8","hsa.mir.101.1",1.02846060732391,0.0254022151759767,-0.161564931606136,0.834332620551575,0.468340191916148,0.860818374593724,0.715363638424333,0.831971496066011,-0.247807344949932,0.604317033307832,0.0191530381671064,0.957757289207493,-0.693888831200189,0.123290300072582,-0.242397319413059,0.405880214067521,0.183546196991584,0.506129947601395,-0.209999686087679,0.446383284808256,0.415899126064982,0.406636919347758,0.40166301761271,1
"pvalue9","hsa.mir.103a.1",2.04652581227969,0.722271495272565,-0.888307027393464,0.880495873976387,-1.21987018644795,0.83459001369411,-0.448522718949278,0.943003842153945,0.57955336580976,0.125807958635482,0.531394726550947,0.186614933082196,0.227972257859361,0.501807787028513,0.0852074886945341,0.759444596486682,-0.090322679733703,0.750788344494586,0.0183211729199942,0.947444794172676,0.945057358759955,0.945508010284862,0.945387498558344,1
