,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,7.689019953,0.205452806,-5.949333874,0.381471752,-5.958389971,0.369449497,13.27011622,0.060450021,0.519318201,0.68475767,0.709726023,0.568778766,1.068680252,0.413827924,0.328206277,0.649528049,0.500924551,0.486624061,1.068724755,0.072125399,0.268388838,0.272377187,0.243856645,1
pvalue1,hsa.let.7b,4.808584356,0.184404521,-0.58695807,0.933087358,0.380319164,0.955452937,8.165025688,0.229602152,1.161983613,0.82735959,0.956847561,0.859816229,1.369318208,0.79781542,1.150287898,0.15607522,0.958057894,0.247568727,1.375359522,0.086883571,0.276046385,0.384757773,0.334552744,1
pvalue2,hsa.let.7c,8.286445769,0.18287783,-9.691717922,0.125614776,-1.534238721,0.851251622,6.251342427,0.463526247,1.940950963,0.083448671,-0.447964668,0.916143346,0.240241148,0.825001103,-0.675618331,0.411955502,-0.407885404,0.50948134,0.244462636,0.64523573,0.526717028,0.549644536,0.532925216,1
pvalue3,hsa.let.7d,7.811158222,0.160747957,-5.685471342,0.471104804,7.332611322,0.428004013,-3.696444413,0.619666805,-0.247505903,0.850890308,0.655492046,0.503735495,0.341278893,0.712935264,-0.356830598,0.643149668,0.655650385,0.278227117,0.327082055,0.622866085,0.403002813,0.432429468,0.408191451,1
pvalue4,hsa.let.7e,7.421565999,0.161806987,-7.141675489,0.287007793,-1.353035792,0.853072494,8.343279128,0.316432497,1.36468817,0.694839936,1.279951393,0.674342464,0.978625228,0.776743213,0.556722886,0.475415134,1.25868433,0.053436787,0.972650935,0.114308523,0.19280699,0.236777705,0.203939139,1
pvalue5,hsa.let.7g,4.486159649,0.331226496,3.680719973,0.580344233,-1.517928768,0.797208475,11.48653134,0.062655221,-0.234125211,0.854848297,-0.634670293,0.895332488,0.417711618,0.675136023,-0.225834873,0.727427078,-0.668884527,0.369816827,0.43020202,0.448823656,0.375740654,0.40336663,0.377428331,1
pvalue6,hsa.let.7i,5.538575479,0.243950423,-4.541085242,0.468553291,6.353989585,0.475989636,4.016712556,0.586130543,1.176102668,0.899502457,0.518364994,0.952861103,1.699669796,0.855017298,0.816514829,0.341480745,0.522650063,0.464688432,1.702427181,0.015874929,0.0510511,0.063781096,0.038213731,1
pvalue7,hsa.mir.1.2,8.704043004,0.147331401,-7.7707166,0.243120224,-2.412085838,0.785770273,-0.199950731,0.98336517,2.252220346,0.128555144,1.743980869,0.163637858,0.424121192,0.949014994,1.559969886,0.028633585,1.649850041,0.019609964,0.410001809,0.545629995,0.037055551,0.056947049,0.034545608,1
pvalue8,hsa.mir.100,7.084348658,0.209102195,-3.453577124,0.650628006,-3.71628517,0.578586626,3.328795684,0.704214784,-0.237371001,0.964851554,0.642491499,0.831456987,0.545169466,0.865919126,-0.25560922,0.740241364,0.597025366,0.350761616,0.546241315,0.373395172,0.474511927,0.512399351,0.493035276,1
pvalue9,hsa.mir.101.2,8.66461329,0.150037987,3.725135269,0.697891939,-8.463036141,0.167380608,-1.400665603,0.872303589,0.661077715,0.823279456,1.704703206,0.54823234,1.009554859,0.725815443,0.65757124,0.297168603,0.59478964,0.390441179,0.940071527,0.162938978,0.531827189,0.570437842,0.553444747,1
pvalue10,hsa.mir.103a.2,8.033542234,0.218866051,-3.065865486,0.751690859,-4.402128073,0.565976222,2.218885757,0.806666676,0.021558719,0.986314676,-0.456043216,0.769382702,0.301292866,0.769105923,0.014879182,0.98003935,-0.475066167,0.502746093,0.303290644,0.598136467,0.729325824,0.750391507,0.742471696,1
pvalue11,hsa.mir.106a,9.622081136,0.145576479,-7.148249029,0.375573974,-1.72543056,0.867057222,-4.3964393,0.584723441,0.171028205,0.905193088,0.629756113,0.681936771,0.597006191,0.679476136,0.085761511,0.908668336,0.629576331,0.284809993,0.590770385,0.326863911,0.623892654,0.639265255,0.629002713,1
pvalue12,hsa.mir.106b,4.550099047,0.318930284,-1.98324617,0.736614441,-2.594146996,0.736005798,16.17478223,0.043461902,1.073666699,0.822287286,1.73338825,0.704064581,1.536098982,0.741047547,1.011412482,0.272936026,1.533223544,0.058812972,1.543713206,0.046840571,0.097995464,0.206097711,0.145872742,1
pvalue13,hsa.mir.107,5.416456532,0.181988805,-0.871132927,0.911387946,9.37269939,0.146527663,-1.781264816,0.782881736,0.834497679,0.835517263,0.903395309,0.819552115,1.382906758,0.727435785,0.827121901,0.262750653,0.907305332,0.181414857,1.357719539,0.065732984,0.264421351,0.329625752,0.292447244,1
pvalue14,hsa.mir.10a,3.855121533,0.258226669,-3.685550079,0.348444162,14.34098804,0.043962807,-0.550703843,0.923804769,3.165474547,0.685847842,1.681829848,0.842294281,2.566786359,0.760880254,2.141147919,0.061458224,1.717565673,0.104353753,2.484138011,0.022849066,0.030768131,0.127525307,0.061368019,1
pvalue15,hsa.mir.10b,6.328961756,0.174246246,5.493552471,0.489334283,-6.5599806,0.182403303,11.05894347,0.175185691,0.637870696,0.937181368,2.936632669,0.703838139,2.55519325,0.737157959,0.742920111,0.37835977,1.087882606,0.209580223,2.287973863,0.005235431,0.007126385,0.011813715,0.003232432,1
pvalue16,hsa.mir.1179,17.77475039,0.000559177,-13.32030721,0.02308871,-11.15021002,0.108151443,-16.54669578,0.003224414,0.042715854,0.992130654,0.645576756,0.80293183,0.621374256,0.81861802,0.033334698,0.959688081,0.645945748,0.334916105,0.29906159,0.678408463,0.70156298,0.69295327,0.683873564,1
pvalue17,hsa.mir.1180,7.879760111,0.185771346,-5.556593773,0.415882855,-6.078198202,0.424907235,7.320086151,0.400745314,0.305865427,0.818072886,0.636597932,0.522804646,0.405789469,0.704532528,0.205551888,0.783926313,0.419917722,0.514307706,0.407557268,0.466765974,0.878495302,0.885565776,0.883719956,1
pvalue18,hsa.mir.1224,0.810365474,0.796667706,-0.892911244,0.823329908,18.2049558,0.001396248,6.122917932,0.242773155,0.793679171,0.866205555,-1.003848046,0.841121944,-1.294263768,0.810366682,-0.225795149,0.727434887,-0.286484241,0.644148964,-0.626622281,0.335895775,0.805333841,0.812487942,0.808216985,1
pvalue19,hsa.mir.1226,6.381051411,0.29529257,-1.135153372,0.880981997,-1.397151607,0.871574682,2.941631379,0.776081237,0.58317533,0.83911381,1.052785009,0.792563155,0.881652935,0.762544671,0.580792946,0.45397641,1.0453024,0.127719523,0.882886113,0.202970129,0.397579696,0.461061778,0.432868462,1
pvalue20,hsa.mir.1228,14.18650322,0.010682339,-11.31342358,0.097142078,-12.92582162,0.079120671,-0.474223215,0.950862246,-0.223819229,0.966609921,1.455244808,0.783755923,1.684609495,0.756967069,-0.287766865,0.709987797,0.979779755,0.201155312,1.621803601,0.016492161,0.009983894,0.020662894,0.00770027,1
pvalue21,hsa.mir.1229,5.376061304,0.382223075,1.200636397,0.895984313,-0.956248984,0.907960948,2.429929044,0.752968595,-0.607111841,0.650333068,-0.315762937,0.724142775,-1.295923629,0.765001546,-0.60339897,0.416707897,-0.324949699,0.630079765,-1.291009069,0.104966423,0.311601433,0.363672325,0.333676924,1
pvalue22,hsa.mir.124.2,3.843209075,0.452635242,-2.785493174,0.675620444,16.21892776,0.020961028,-0.93401536,0.879687082,1.346578215,0.781066763,0.801077159,0.873163212,-0.296180801,0.949937563,0.766491554,0.228335429,0.836233483,0.177377878,-0.323344855,0.674885344,0.194114972,0.232441169,0.202190057,1
pvalue23,hsa.mir.1247,8.714125771,0.182875141,-8.293605447,0.247294581,-5.953659828,0.43198861,6.465392662,0.473033544,1.470293159,0.244398872,0.392016481,0.803541099,0.400933335,0.767399088,0.625416049,0.365870146,0.327656947,0.631974828,0.405400074,0.509470167,0.828351697,0.836779782,0.833248918,1
pvalue24,hsa.mir.1249,11.96908715,0.084615852,-5.899671306,0.547961839,-5.567717617,0.545563906,-8.970076103,0.252171677,-0.850607841,0.651102659,-0.844126829,0.801977536,-0.611855384,0.564870945,-0.853379203,0.158450992,-0.845348196,0.169072027,-0.663048503,0.245741309,0.383581443,0.358458533,0.336137111,1
pvalue25,hsa.mir.1251,9.636397278,0.157817176,-3.562914727,0.687830395,-4.206041209,0.659443527,-4.944014303,0.589271932,-0.17721598,0.876319253,-0.135297747,0.919819341,0.272688507,0.788847977,-0.179002068,0.771684704,-0.139303579,0.818745318,0.263445109,0.657598402,0.89446885,0.890589018,0.888943468,1
pvalue26,hsa.mir.1258,-0.270513528,0.93600337,10.01180715,0.237116829,17.1223609,0.00961875,2.30520933,0.606042584,-0.670436751,0.491436293,-2.143799399,0.388134233,-2.546964964,0.278898739,0.99066496,0.155400718,-0.315836122,0.65766596,-0.874389875,0.28802165,0.030858254,0.029144799,0.013038241,1
pvalue27,hsa.mir.125a,5.937651853,0.331982596,-2.008596051,0.807341313,-3.214208915,0.651980671,9.74654959,0.234266729,-2.130520142,0.761698786,-0.531283553,0.633298503,-0.196355819,0.809969377,-2.141491306,0.04539475,-0.596685412,0.336189184,-0.193246386,0.698182516,0.061818723,0.212138943,0.119687658,1
pvalue28,hsa.mir.125b.2,15.58011934,0.024271369,-14.03671431,0.060006864,-14.10444512,0.103762841,-2.792105649,0.782027157,-0.667690654,0.811501217,-0.308332374,0.747101744,0.162930289,0.841353481,-0.843561774,0.29151733,-0.558444409,0.370021287,0.162353847,0.748353449,0.438825898,0.47970747,0.455772695,1
pvalue29,hsa.mir.126,1.863100477,0.51435739,-1.255790328,0.722717512,17.94837921,0.000366812,5.690267354,0.444912511,0.352572241,0.943455019,0.437877358,0.929638344,0.831527071,0.867130106,0.028518358,0.975294167,0.581852867,0.391164004,0.978103064,0.152533653,0.392485342,0.416599758,0.390834903,1
pvalue30,hsa.mir.1266,5.951891374,0.295451192,2.715146421,0.755017495,-6.747935662,0.232191249,14.08401428,0.078934784,0.921330741,0.879147758,1.491669971,0.800720528,0.860662727,0.886643457,0.910488124,0.205947316,-0.190925714,0.817345232,0.859167111,0.193246458,0.194353498,0.243162919,0.21006632,1
pvalue31,hsa.mir.1271,9.82524266,0.084809524,-1.182504359,0.881636425,-8.334133272,0.163900474,-4.455504041,0.577524349,-0.299620127,0.739887821,0.796227053,0.783018907,0.926040781,0.757532195,-0.299156953,0.658738413,0.481356867,0.457732241,0.897320851,0.159057222,0.271700177,0.287163008,0.25723698,1
pvalue32,hsa.mir.1277,8.931740131,0.157219384,-3.344258632,0.585391549,-9.231000673,0.20859203,4.112416439,0.689830366,0.720114572,0.843195758,1.720276944,0.643987266,0.553441567,0.882062893,0.635172383,0.334592616,0.232580046,0.74030884,0.485627442,0.421624479,0.761215305,0.769253484,0.764727691,1
pvalue33,hsa.mir.128.1,17.29793692,0.012693988,-14.2678982,0.106471795,-14.26804294,0.14472401,-13.33095542,0.11881338,-0.802312003,0.779575626,0.278287784,0.784056163,-0.569273278,0.832796291,-0.842903752,0.214808317,0.207475089,0.700414415,-0.583260464,0.359557995,0.323098425,0.357489345,0.330285999,1
pvalue34,hsa.mir.1287,8.557840455,0.153790707,-3.050780065,0.709547461,-8.694052264,0.158740016,5.118465131,0.54011003,-0.245283403,0.922076031,2.150048549,0.424489735,0.479239748,0.860954001,-0.182457311,0.788753553,0.49450838,0.422026169,0.472963007,0.420697733,0.619034352,0.63139696,0.620919834,1
pvalue35,hsa.mir.129.2,0.448091803,0.856608932,9.662240491,0.14318414,9.908226616,0.133076409,4.961483892,0.367053265,-1.855654192,0.45526793,-1.212749217,0.638461717,-1.500599271,0.536917003,-0.859132468,0.16954513,-0.25258141,0.672159135,-0.535940169,0.378402662,0.534227936,0.541102121,0.525608463,1
pvalue36,hsa.mir.1291,10.26866684,0.141917816,-4.259934782,0.655661723,-9.838788344,0.176861906,-2.331847587,0.771186128,-0.273207857,0.933231517,1.208220354,0.703763774,-0.736181738,0.818390745,-0.268443285,0.650978837,0.350912121,0.577009475,-0.724780721,0.237829449,0.392118051,0.40281437,0.378799365,1
pvalue37,hsa.mir.1296,1.097709495,0.696592916,19.12184623,2.15E-13,2.938813321,0.610136686,-1.408901802,0.664158073,-0.24452179,0.801767896,-0.838307314,0.393089851,-1.381905638,0.154536891,0.179188354,0.757467497,-0.430480823,0.483744058,-1.812238336,0.099454245,0.112236464,0.24298241,0.163122836,1
pvalue38,hsa.mir.1298,9.201911781,0.20205544,-8.125947564,0.326752095,-2.125460569,0.808126869,1.432439399,0.876013349,-0.644295085,0.523381331,-1.219844974,0.660090985,-0.777539901,0.749973944,-0.991957961,0.14705625,-1.215535227,0.053824506,-0.77695403,0.148731598,0.20902016,0.188174704,0.159189606,1
pvalue39,hsa.mir.1301,6.477429809,0.179546254,-6.96694034,0.158538407,6.849644592,0.414243681,2.768504862,0.714392898,2.926833694,0.006949935,-0.544440621,0.720598487,0.172126747,0.823567883,0.18556634,0.774058526,-0.473176307,0.48519789,0.156186256,0.792614051,0.737336107,0.765381192,0.758256914,1
pvalue40,hsa.mir.1306,4.065573872,0.465854289,0.015124315,0.998232158,0.461720145,0.954556827,7.199293294,0.391360431,-1.841376206,0.814791089,0.348545392,0.903433897,-0.157962235,0.957095382,-1.832016702,0.094250148,0.354692358,0.520533657,-0.1376424,0.811490446,0.077698144,0.234812855,0.143856151,1
pvalue41,hsa.mir.1307,7.149013092,0.090904559,-4.75203951,0.384462006,3.320113139,0.707178226,-3.314246075,0.648578515,2.069078304,0.647345791,0.939623552,0.799458342,1.622108162,0.720677792,1.950612919,0.013472276,0.940113485,0.185912639,1.594246535,0.032060944,0.044763712,0.088756408,0.058802977,1
