"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.3",7.30388128505591,0.212545042666235,-5.68195363083614,0.425446094166956,0.760400344119776,0.920956659862288,-4.36533868514103,0.64853789642301,-0.0120585587812699,0.979879661982263,-0.333249315634079,0.470791755694875,0.539529170444238,0.189869018135614,-0.350603538284971,0.288654027156359,-0.300185202402886,0.340397797608917,0.388042620092099,0.191418342161356,0.0776055129507561,0.0700231476839989,0.0633044780435271,1
"pvalue1","hsa.let.7b",6.07754675368375,0.161530939087417,0.710770541484214,0.912526292573904,-4.62441362944647,0.413404554386531,8.44625714060984,0.256002135681618,-0.043175566248795,0.927464046368511,0.716199349269795,0.129108315361783,0.457822508992432,0.318002551120921,-0.0751767734157541,0.82255794538753,0.186271369233349,0.553531045358558,0.427256389674838,0.167038191093524,0.385132144025188,0.375215014605754,0.36871048131517,1
"pvalue2","hsa.let.7c",3.66646854729738,0.492289570915722,-1.12207470304353,0.840885789473821,13.2345189444485,0.070477463012159,-1.78497329026312,0.787109558018438,-0.00904080166415709,0.987830591149042,-0.0395366006557134,0.943869938137065,0.0310352787926618,0.949553768222416,-0.102280193357779,0.744491067386753,0.0279220806015722,0.927505222410453,-0.218061674588713,0.482967885905779,0.855098565452587,0.857926264004837,0.857263821382582,1
"pvalue3","hsa.let.7d",1.88975738244702,0.736461766685561,7.11012336314566,0.412913613331439,5.26819829936854,0.426620691568494,4.0035952697946,0.620961899715502,-0.359427154071992,0.307522826573449,-0.184563445921738,0.631764734996993,-0.492124557959701,0.298048192119517,-0.0163680153150613,0.957296407907147,0.119624973751405,0.701583770934805,-0.177259639520637,0.572973773748566,0.832482499585118,0.834783736744285,0.833846925833475,1
"pvalue4","hsa.let.7e",8.4206521597339,0.126377832374354,-7.05726126435815,0.299742928954411,0.747029580097932,0.924862701947001,-5.13702012615625,0.634809684640843,0.279827929296492,0.576800961382444,-0.597230769971576,0.221945682224642,0.544951251630605,0.152229260491304,-0.193095126928393,0.547472086661378,-0.503702631497191,0.129387213902959,0.431234693194282,0.149376480221697,0.0296072700899421,0.0283849037399169,0.0237453853581464,1
"pvalue5","hsa.let.7g",12.8856575901102,0.0341146384718718,-9.87422920862906,0.177700557694619,-10.4398069699803,0.30294835690144,-11.6045307519995,0.0643001294103245,-0.461679688182649,0.324109230571232,-0.170840967507362,0.660354638623827,0.340884461614695,0.434167718432279,-0.526418689709469,0.101349653643657,-0.315885742244071,0.294456195404989,-0.15593289869958,0.610727436127931,0.391770231743263,0.399999455968336,0.393263045476355,1
"pvalue6","hsa.let.7i",2.2467169466771,0.488608144935785,0.563242037619509,0.906509934879406,0.429294539804219,0.961421688859929,2.63944253854044,0.670397510760186,-0.385405195636305,0.418540155915258,-0.214140775510875,0.587062299724382,-0.432378717725375,0.376980405691435,-0.287987501258219,0.361119502566966,-0.148892971218376,0.624266469961932,-0.243145252608755,0.442253155929885,0.803415509661823,0.799982348153557,0.798802277103351,1
"pvalue7","hsa.mir.1.2",13.9628473806613,0.00892774842789512,4.73172669518623,0.558825839721975,-13.5727687491457,0.0131425099555807,-6.81243944636077,0.395942226775397,0.22642686630447,0.47184706278344,0.514717906488492,0.255248765843218,-0.0266084257880444,0.958997033806324,0.211581266260901,0.472063073605506,-0.48498572040062,0.152681570208803,-0.0182447052806761,0.951703645727165,0.210761320571459,0.241778348183157,0.231190094617214,1
"pvalue8","hsa.mir.100",2.24815310258309,0.541089280690396,10.1283958820512,0.137995919768813,-1.14415396395679,0.818746744206212,11.0314255945771,0.0738042619295498,-0.683534526904149,0.189200254698577,0.114746046924597,0.806333949052734,-0.49613135331329,0.239738144011258,-0.386519225978874,0.219825158801799,-0.33646254451634,0.284914556017169,-0.276864161976614,0.360384528599933,0.61463396178482,0.599233780165976,0.595454979667256,1
"pvalue9","hsa.mir.101.2",2.13630153353583,0.681779623963481,-0.327174176100898,0.962390003098273,2.44627363602332,0.733776016578358,7.58244335918751,0.365137029190136,-1.10871440284145,0.0327721251418765,-0.594044914325758,0.121029217571133,-0.611513775576109,0.121741796758169,-1.03137255256031,0.00290892215606235,-0.326802033048994,0.258890805619556,-0.338453594571275,0.272890625355126,0.0196233777191268,0.0309053836698639,0.024519942717513,1
"pvalue10","hsa.mir.103a.2",1.81654819724696,0.631606347269953,7.46270754245049,0.305067135409751,14.552634408951,0.0168300157472565,-0.797507808805486,0.856475738788591,-0.540070662270688,0.262110127203779,-0.499622487377366,0.30892375701028,0.140878489012468,0.786623753383646,-0.201888928496423,0.507157224477943,-0.182314858971896,0.548585219530737,-0.240714408014311,0.457124079757399,0.873472202455133,0.869275792421141,0.868664058412873,1
"pvalue11","hsa.mir.106a",9.19361706474207,0.125752042910212,-6.45490189693503,0.349432614124267,0.896378921710047,0.916723019858504,-7.3222263466309,0.314499032367576,-0.101677118176148,0.789674480888049,-0.218881418035779,0.537111784889023,-0.257214733740904,0.642891337890171,-0.21130396300197,0.486383373424151,-0.210704675052083,0.51348862595422,-0.487039679466601,0.13210914240009,0.509825985849992,0.517844421995692,0.512558079808702,1
"pvalue12","hsa.mir.106b",13.1708534512758,0.00429340364376074,-12.0056245724286,0.0221290856323505,-6.69868802595139,0.383536801878473,-5.89432054965344,0.499379456274209,0.504792804478121,0.376198278485468,0.296909078593775,0.399938080703365,0.170198093371005,0.588541757475475,-0.0833158672308289,0.793732566634773,0.25319296226643,0.433289251725015,0.144890098734766,0.637395012370305,0.735724491916105,0.734707255784087,0.732997351236332,1
"pvalue13","hsa.mir.107",6.31311483190642,0.256617453652025,-5.44793335483794,0.348699684957347,-3.7371585980549,0.684047618549163,-4.37183155192803,0.486666185677792,0.606382258638495,0.264553724607486,-0.066373309009206,0.884666681410442,0.578804778224124,0.170820683764526,-0.0894830153910866,0.78460574480849,-0.17649021283501,0.570135796176526,0.237976713002525,0.438555241813552,0.58621007571504,0.574317095540659,0.570337649172696,1
"pvalue14","hsa.mir.10a",1.2750128532909,0.598252427483837,-0.844362017621873,0.739856222054101,17.7776673269944,4.02757267750076e-05,6.58700576309948,0.334115056697859,0.280804346923908,0.649542122811647,-0.455974086209232,0.363407459724056,-0.486188274649257,0.35450285259262,-0.251907940761225,0.472795962055797,0.056559901550324,0.850199783551746,-0.0104384258471924,0.97312994041928,0.813796519220252,0.824910280652898,0.823599954416818,1
"pvalue15","hsa.mir.10b",6.94697754222995,0.210111058171227,-2.78989626820124,0.750432878152351,-4.78895077459817,0.581807757364913,-2.50775841484688,0.713196769000789,0.0947620939703265,0.871959935703174,0.0183573875646453,0.966184701010431,-0.227690255205918,0.62375165426171,0.0507643632024124,0.864207417117351,-0.224714730250132,0.464852978131499,-0.268710470308837,0.400871873806122,0.678159123711721,0.680527767639654,0.678323565461063,1
"pvalue16","hsa.mir.1180",6.14132994314369,0.279807587123198,11.5466320273783,0.155635272297214,-4.58060930034222,0.454980206813609,-3.05993966054271,0.68991339943839,0.302743395503755,0.6082631635611,0.656504101812568,0.295540570541325,0.303565708125912,0.593924321119063,0.279771494351554,0.392564791482234,0.18028331990168,0.58398952066237,0.18172550016188,0.5866137264187,0.860358508523169,0.864641735466512,0.863919818399443,1
"pvalue17","hsa.mir.1224",13.7426739744077,0.0392803956401695,-11.3851331732042,0.133421756965807,-9.23560931365568,0.27817618665091,-11.786027143916,0.193494675825139,0.0633098735708228,0.885497439700659,-0.100622040115843,0.782290888602314,-0.120130704897044,0.741915339223692,-0.133396324825361,0.670915655249949,-0.156217920377719,0.613230286411448,-0.398402390733331,0.205679327755983,0.640888307571449,0.650610329163134,0.647447099985058,1
"pvalue18","hsa.mir.1228",3.22619658270206,0.552495944347524,-2.01985832726242,0.755771228767783,4.7853845675797,0.540968673761629,7.95982240256041,0.363476619683691,0.159936127764701,0.741257068748037,-0.478470275287716,0.221106938038905,-0.156106428670925,0.700487257874044,-0.302286401199778,0.381718037293563,-0.363859666670998,0.253100704084713,-0.074914657487086,0.814011137785239,0.608192399771786,0.606669624837019,0.60355890413175,1
