,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7b,0.299135577,0.845157304,-1.54914445,0.351667644,-0.417770595,0.798966968,0.2510889,0.919381425,0.788910663,0.732315084,-0.630677904,0.788911303,-0.485408936,0.832999023,-0.607305174,0.348014098,-0.549154214,0.332547321,-0.195503837,0.718329611,0.706435896,0.703980463,0.697365558,1
pvalue1,hsa.let.7d,-0.4157146,0.695259589,-0.423224063,0.743582195,-0.622863549,0.614906583,9.110286857,0.073063693,1.244680835,0.184319149,0.820807337,0.516718378,-0.463691543,0.58915714,0.347966778,0.608171438,-0.079078779,0.906687651,0.856595238,0.143258085,0.263698371,0.25864796,0.23481553,1
pvalue2,hsa.mir.100,-0.071912169,0.957809545,2.73921837,0.401359907,-1.301635855,0.429980881,0.683725885,0.799689668,-0.964895562,0.721377166,0.783502048,0.782611831,-0.34971923,0.896314752,0.013841306,0.981821669,-0.691724115,0.306167268,0.186188675,0.735148077,0.464932183,0.527970574,0.505940625,1
pvalue3,hsa.mir.101.2,-0.463605135,0.611428798,-0.100192485,0.944336113,0.38686142,0.833447142,0.962427382,0.515041537,0.351742585,0.639845586,-0.177914234,0.852622608,-0.756170505,0.33355154,0.279897144,0.665141868,0.17273827,0.768614292,0.186641298,0.744369444,0.97686477,0.977638843,0.977522451,1
pvalue4,hsa.mir.106a,0.004029702,0.997751507,0.161382626,0.945113497,-0.450326899,0.79330087,1.807621416,0.460686973,-0.109495839,0.936873234,-0.255730132,0.851232831,-0.020000716,0.987861459,0.016414148,0.976483763,-0.428881433,0.488826297,0.654313895,0.249304528,0.37165208,0.357898845,0.334198592,1
pvalue5,hsa.mir.10a,-0.426506267,0.72900605,-1.221342936,0.391861528,-0.394164458,0.774637126,1.47628484,0.710592291,1.563881071,0.082900133,1.481542689,0.070270425,-1.087810716,0.21987502,-0.401664048,0.585083504,0.268790361,0.638126334,0.266694374,0.634113987,0.709026489,0.742670808,0.734046773,1
pvalue6,hsa.mir.10b,-0.335828597,0.701899983,0.125419809,0.955421134,0.200474316,0.83968767,0.860898705,0.758162234,-1.683371295,0.699773093,-0.478151792,0.836809347,-0.934684853,0.713316576,-1.063082628,0.146239752,-0.198574348,0.729703024,-0.033122212,0.952950464,0.343875578,0.444004407,0.408291737,1
pvalue7,hsa.mir.1180,-0.172007623,0.846239644,-0.580546041,0.614613888,-0.55977704,0.638303276,0.682983153,0.792173174,1.62529406,0.48229059,1.156398943,0.664586302,-0.452123187,0.84216999,0.478692822,0.460205936,0.276402454,0.659742274,0.232074751,0.706248408,0.90425786,0.905626131,0.904318395,1
pvalue8,hsa.mir.1245a,0.127436725,0.931023487,0.184570464,0.930937524,-1.093963666,0.515426925,0.854003052,0.751360527,-0.289530075,0.929927512,0.173181485,0.966492388,-0.734426336,0.824993941,-0.078967562,0.896575616,-0.687228178,0.279117286,-0.087653354,0.875442863,0.624275047,0.66559292,0.654079792,1
pvalue9,hsa.mir.1247,-0.369310728,0.640038685,0.539212288,0.819802943,-0.375006638,0.753528015,1.424831019,0.636715521,-0.898623373,0.422579698,-0.152987749,0.871484587,-1.854531258,0.541661879,-0.097734355,0.85532433,-0.353258045,0.547225616,-0.32896602,0.555279564,0.90654966,0.906597683,0.905622424,1
pvalue10,hsa.mir.1248,-0.919558248,0.169603697,1.51709142,0.420521744,1.480972309,0.410156172,1.263973441,0.295592022,-1.304192546,0.38785731,-1.311111009,0.251165855,-1.160960577,0.133751426,0.230849279,0.736576761,0.251395025,0.681766723,0.354882231,0.518061989,0.932612732,0.936249827,0.935552842,1
pvalue11,hsa.mir.1249,0.619218298,0.86554551,-1.757851966,0.656895065,2.340415756,0.648443708,-0.782964684,0.842864094,-0.875591987,0.273828859,-1.488186385,0.211381188,-0.762751703,0.329820302,-1.642524809,0.020621,-0.515746641,0.333065949,-0.857244482,0.1246726,0.09096333,0.116610584,0.084512486,1
pvalue12,hsa.mir.126,-0.264290701,0.725232562,-0.994151519,0.39564825,0.04884013,0.972339268,1.007576753,0.696772607,-0.495489602,0.834496968,-0.24496907,0.82076996,-1.401210924,0.570905649,-1.087780974,0.125841164,-0.070639803,0.8992684,-0.234806938,0.658660211,0.348477751,0.444632466,0.410310222,1
pvalue13,hsa.mir.1262,-0.132411188,0.921962627,-0.032304832,0.983872051,-0.845494073,0.646344692,1.097250236,0.733774361,0.848650413,0.486745561,0.309721549,0.862497309,0.114274729,0.927855879,0.498782059,0.440525657,-0.383753475,0.588877538,0.689525681,0.239306999,0.220141651,0.260324444,0.2314792,1
pvalue14,hsa.mir.1266,0.203648585,0.876788887,-0.132887846,0.940546611,-0.447388344,0.785954301,-0.140308097,0.92399968,-0.342311601,0.927783511,-0.919585408,0.820676327,-0.379563911,0.922056226,-0.381020533,0.532343573,-0.867548393,0.182398794,-0.406659253,0.482004349,0.606250763,0.616613377,0.604344772,1
pvalue15,hsa.mir.1269a,-0.681289334,0.27261065,-0.172281924,0.870616864,-0.131514563,0.904176188,1.573300687,0.681365468,-0.784275464,0.416787922,-0.915345399,0.430832048,-2.171072266,0.024862927,-0.479767892,0.428769251,-0.431738706,0.478814389,-0.083267441,0.875308266,0.794338586,0.798460137,0.794969472,1
pvalue16,hsa.mir.1277,0.179674652,0.925141545,-1.203070591,0.599584498,-0.592543157,0.772951068,0.94521883,0.819249273,-1.491740768,0.732862899,0.289536751,0.75169361,-1.529748166,0.171351636,-1.676195766,0.040530666,-0.243433295,0.644954958,-0.471557389,0.384786107,0.109299442,0.218297419,0.160234,1
