"","gene","intercept","interceptpvalue","cure1","curepvalue1","cure2","curepvalue2","cure3","curepvalue3","survival1","survivalpvalue1","survival2","survivalpvalue2","survival3","survivalpvalue3","cox1","coxpvalue1","cox2","coxpvalue2","cox3","coxpvalue3","logtest","waldtest","scoretest","flag"
"pvalue","hsa.let.7a.3",-0.220304428713092,0.823075126944415,1.19548071863186,0.657677767070719,18.17689469565,0.00528817184717867,0.359019497340365,0.885617508562039,0.123463173516043,0.883445585705592,-0.563645954941988,0.479978358370826,-1.06019955564898,0.283100249906593,0.792727721351083,0.126679313292995,0.897993145952814,0.0663343090725101,-0.395352010825871,0.514303634398655,0.02324396587473,0.0372043933724997,0.0247685443009208,1
"pvalue1","hsa.let.7b",0.301375064078161,0.729883666471751,0.368951367224605,0.934679242948675,2.89024302792225,0.4234443503115,1.06285959141435,0.837533448673805,-0.132687390929622,0.88335611224692,-0.732825946249053,0.334605880070204,-1.17773997204961,0.129007363407974,0.155655378366041,0.751325755542474,0.20802722930625,0.683330589006525,-0.229437728646624,0.632871506406437,0.796617278978764,0.802432941613164,0.800106622496976,1
"pvalue2","hsa.let.7c",0.297838988491106,0.888915792812991,3.32795314635722,0.519311399869409,0.963526871461678,0.884723932513081,3.48751796379934,0.528843765813497,-0.964406811016986,0.190162713570863,-0.529633433553183,0.49282366664698,-0.993065586252836,0.257745455317939,0.0998224754177882,0.829237597779331,0.180809371290312,0.6958849123153,0.0176041195610144,0.973761731979033,0.980586267947188,0.980458231173268,0.98040589590704,1
"pvalue3","hsa.let.7d",1.48872220226884,0.751341371645758,-0.904535721140858,0.865357505225143,-0.936402707888828,0.849898653667294,4.67917694642444,0.542240761052362,-0.563839008709578,0.615286026163433,-0.123976831771076,0.832182786672018,-0.785893724468056,0.18538894692265,-0.748380998783572,0.128983919636062,-0.527431938633493,0.259508050471123,-0.374822407980124,0.404921510263315,0.465062773799694,0.456312336920803,0.442929503768751,1
"pvalue4","hsa.let.7e",0.132632163109426,0.889091643921282,4.57612517430576,0.395201642488085,1.73011652202771,0.684459011938,1.18958009104191,0.827479672714332,-2.23751446750872,0.0533294826031044,-1.05619390303537,0.224489684755131,-1.17065011552389,0.252884905946386,-0.639756628024187,0.222595667289407,0.0804518347888224,0.8638834920777,-0.14848225828608,0.760545246976081,0.458649009084364,0.497891465137571,0.484168202653841,1
"pvalue5","hsa.let.7g",0.904741722337287,0.752317401204448,-0.538849011620727,0.855715807710592,6.03841239433309,0.325684147354827,0.119714098188234,0.978185774154644,0.121093684405035,0.824840007328083,-2.08819107731892,0.00796694173775732,-1.00887795484711,0.21353412048584,-0.340420987078857,0.450511436765708,-0.920174295101969,0.0642745710262088,-0.475655236196359,0.321102793451776,0.30410197513442,0.31980338752114,0.300713636283974,1
"pvalue6","hsa.let.7i",0.904318639738938,0.817655376322823,-0.204007117273775,0.97498660530156,3.47003622515501,0.574230192226437,0.199858200418179,0.972598629707587,-1.31802884481637,0.127107031920121,-0.903952808719774,0.152707898237994,-0.927283306839477,0.239732424091943,-0.954874048295882,0.0493390025088303,-0.161094509898596,0.720193774892774,-0.587438587299769,0.237369472742226,0.189642943744648,0.206950939444911,0.188252379688283,1
"pvalue7","hsa.mir.1.2",0.389812605424993,0.879665060048389,0.682445285720346,0.854575663310415,3.849587172174,0.530786870189943,0.949731464007344,0.8700328366761,-1.34786805938642,0.0685716953594189,-1.43349373354672,0.0445402454527566,-1.39468233542599,0.0912540420895164,-0.479861571226086,0.314143496975562,-0.188928761592422,0.690623014796181,-0.382338792779294,0.433091908020504,0.760001203352357,0.755032303320675,0.751433511246773,1
"pvalue8","hsa.mir.100",0.51327571507796,0.869982527411756,-0.532641421661754,0.869225975303589,8.73629000501283,0.289798373259041,5.76953101986945,0.347806593003989,-0.312175580689466,0.649942568687926,-0.920055729648021,0.190893458899853,-0.851273717346395,0.259818240671823,-0.550549227997811,0.28131009698319,0.100231780756033,0.825223909910716,0.0539660053854495,0.912320746232443,0.518019261191712,0.562259434842435,0.550293066170718,1
"pvalue9","hsa.mir.101.2",3.40212068727425,0.557304698262082,-3.52520888323687,0.553869158376445,-2.16712397508808,0.781292948294295,0.186086000662982,0.982087173135794,1.19866652332492,0.0647032026106567,-0.195597528355437,0.72512760321856,-0.233153025303212,0.810490165322591,-0.450416450216662,0.356983346277625,-0.441195625114616,0.335273772093956,-0.229601312206985,0.622484050790667,0.748220363378105,0.742007595492427,0.738084267104192,1
"pvalue10","hsa.mir.103a.2",1.55239065115898,0.792220649384701,0.312875447259886,0.968954808513851,-1.72740971432549,0.776111628441581,0.997353556593528,0.880068712559727,0.58071595172461,0.465609463274781,0.480057804898961,0.525678199525766,-0.564275211694064,0.394760652228557,0.521394450273115,0.248260364902204,-0.525064365795538,0.321878621416646,-0.368769951652808,0.456781473031487,0.127173241409365,0.115730029002137,0.0981676323038929,1
