,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7b,-2.079441539,4.81E-05,1.568615914,0.121396616,2.079407668,0.654796455,2.772588719,0.510650769,-20.89555627,6.43E-07,-21.57952967,0.117072354,-20.71109532,0.013102183,1.44573264,0.217713929,0.955074794,0.414018186,2.075851492,0.061189004,0.147804846,0.232801656,0.159356533,1
pvalue1,hsa.mir.1.2,18.98919109,0.005041748,-20.59862901,0.006100184,-4.218736501,0.651713791,-19.04499208,0.011592355,27.2694517,0.005964723,0.674770938,0.891165108,0.61647578,0.945818515,-1.12212886,0.308323779,0.394190107,0.589061975,-0.678200188,0.359478174,0.368578999,0.411749356,0.369865699,1
pvalue2,hsa.mir.101.2,0.200809088,0.963040003,0.674999126,0.935374596,1.217201987,0.845803051,11.55069057,0.2188997,-0.897667571,0.93786219,-0.59217056,0.935144666,-0.762551261,0.919869593,-0.092087432,0.911776357,0.153911977,0.868931833,0.39027348,0.607072082,0.927674404,0.927496336,0.926274473,1
pvalue3,hsa.mir.107,0.72079923,0.909436366,-0.491054227,0.943480948,1.393608947,0.859065719,9.925881819,0.240017726,0.229256624,0.98456288,1.167352235,0.922236902,0.898028361,0.925341078,-0.172033506,0.851567229,1.388903136,0.133277746,1.285981718,0.1196037,0.177738343,0.235279813,0.173313014,1
pvalue4,hsa.mir.1180,6.680660795,0.379693942,-5.685077397,0.53721863,-2.651836894,0.706681756,-6.608186263,0.411363287,-2.686174751,0.877411107,-1.415544467,0.909214404,-0.989659906,0.924970787,-2.404251962,0.014646557,-1.371370663,0.12980376,-2.129873416,0.024863899,0.052579885,0.073518515,0.027041849,1
pvalue5,hsa.mir.1254.2,0.499647676,0.930477234,18.15144336,0.067609203,-0.776710222,0.913448518,5.887654579,0.383661704,-0.256622438,0.980797074,0.251348013,0.975603157,-0.044253879,0.996574001,0.610324775,0.429109613,-0.274926192,0.764995764,0.640933227,0.417203516,0.609376263,0.632633675,0.61334191,1
pvalue6,hsa.mir.125b.2,19.04458652,0.004410639,-18.08033588,0.023317758,-20.136259,0.003500613,-10.65525205,0.191009024,0.447656886,0.962393993,2.196391302,0.78008535,-2.035607368,0.868381934,-0.235031964,0.733251338,-1.572694898,0.087176738,-1.441341483,0.097300554,0.161081003,0.217580069,0.159397436,1
pvalue7,hsa.mir.1271,0.409790402,0.926307199,11.42178183,0.149990804,1.036435649,0.910214329,-1.374172213,0.78213329,-2.474076145,0.887576465,-1.315143332,0.909419512,-0.085416558,0.990938161,-0.479006704,0.580845293,-0.208784764,0.759205632,-0.868900664,0.323372745,0.759832056,0.780108248,0.769589628,1
pvalue8,hsa.mir.1275,2.84409719,0.68012622,-3.596509677,0.608726439,16.03458527,0.072001692,12.50415773,0.31571196,3.622305053,0.792589002,2.276979175,0.804724155,0.996674248,0.94225391,0.450281781,0.721693675,2.094840468,0.055700579,1.162003172,0.303017265,0.087220465,0.122028377,0.069054655,1
pvalue9,hsa.mir.1287,-0.120132696,0.975373886,-1.132630273,0.76925357,18.06073286,0.028754781,6.663414628,0.436374095,23.31815699,0.045792633,1.36564353,0.892146023,0.598423887,0.937597497,1.436978817,0.258587513,2.227418073,0.043758763,1.527424307,0.184568013,0.120206872,0.213139466,0.124789334,1
